date,new_date,hour,load_kW,demand(kWh),supply(kWh),net_kWh,Wind,Condition,temperature(°F),dew_point(°F),humidity(%),wind_speed(°mph),wind_gust(°mph),pressure(°in),precip(°in),time_idx,group,wind_direction,weather_condition,hour_group,work_time,holiday,weekend,workday
2022-01-01,1/1/2022,6,7.37,5.47,0.0,-5.47,NW,Fair,68.0,63.0,83.0,2.0,0.0,29.84,0.0,0,a,11,0.0,0,0,0,0,0
2022-01-01,1/1/2022,7,9.21,4.66,0.0,-4.66,VAR,Fair,66.0,63.0,88.0,1.0,0.0,29.9,0.0,1,a,0,0.0,0,0,0,0,0
2022-01-01,1/1/2022,8,5.67,2.72,0.13,-2.59,VAR,Fair,75.0,63.0,65.0,1.0,0.0,29.9,0.0,2,a,0,0.0,0,1,0,0,0
2022-01-01,1/1/2022,9,17.84,0.26,3.01,2.75,ENE,Fair,77.0,61.0,57.0,5.0,0.0,29.93,0.0,3,a,2,0.0,0,1,0,0,0
2022-01-01,1/1/2022,10,28.99,0.0,9.71,9.71,E,Fair,81.0,59.0,48.0,6.0,0.0,29.93,0.0,4,a,12,0.0,0,1,0,0,0
2022-01-01,1/1/2022,11,32.47,0.0,13.11,13.11,VAR,Fair,82.0,57.0,42.0,5.0,0.0,29.9,0.0,5,a,0,0.0,0,1,0,0,0
2022-01-01,1/1/2022,12,37.32,0.0,14.64,14.64,SE,Fair,84.0,59.0,42.0,3.0,0.0,29.9,0.0,6,a,4,0.0,0,1,0,0,0
2022-01-01,1/1/2022,13,32.76,0.0,14.17,14.17,SE,Fair,84.0,57.0,40.0,6.0,0.0,29.84,0.0,7,a,4,0.0,1,1,0,0,0
2022-01-01,1/1/2022,14,29.32,0.03,12.73,12.7,W,Fair,88.0,57.0,35.0,6.0,0.0,29.78,0.0,8,a,7,0.0,1,1,0,0,0
2022-01-01,1/1/2022,15,23.34,0.01,9.97,9.96,SSW,Fair,88.0,59.0,38.0,7.0,0.0,29.75,0.0,9,a,16,0.0,1,1,0,0,0
2022-01-01,1/1/2022,16,10.63,0.02,4.82,4.8,W,Fair,88.0,59.0,38.0,7.0,0.0,29.75,0.0,10,a,7,0.0,1,1,0,0,0
2022-01-01,1/1/2022,17,9.11,2.31,0.57,-1.74,W,Fair,86.0,59.0,40.0,6.0,0.0,29.75,0.0,11,a,7,0.0,1,1,0,0,0
2022-01-01,1/1/2022,18,0.0,5.56,0.0,-5.56,W,Fair,82.0,63.0,51.0,6.0,0.0,29.78,0.0,12,a,7,0.0,1,0,0,0,0
2022-01-01,1/1/2022,19,4.02,7.15,0.0,-7.15,W,Fair,81.0,63.0,54.0,3.0,0.0,29.81,0.0,13,a,7,0.0,1,0,0,0,0
2022-01-01,1/1/2022,20,7.08,6.73,0.0,-6.73,VAR,Fair,77.0,64.0,65.0,1.0,0.0,29.84,0.0,14,a,0,0.0,1,0,0,0,0
2022-02-01,2/1/2022,6,5.85,5.34,0.0,-5.34,VAR,Fair,68.0,61.0,78.0,2.0,0.0,29.84,0.0,15,a,0,0.0,0,0,1,1,1
2022-02-01,2/1/2022,7,6.55,4.41,0.0,-4.41,VAR,Fair,66.0,61.0,83.0,2.0,0.0,29.87,0.0,16,a,0,0.0,0,0,1,1,1
2022-02-01,2/1/2022,8,7.27,2.71,0.18,-2.53,VAR,Fair,72.0,61.0,69.0,2.0,0.0,29.9,0.0,17,a,0,0.0,0,1,1,1,1
2022-02-01,2/1/2022,9,17.75,0.11,2.74,2.63,E,Fair,77.0,61.0,57.0,5.0,0.0,29.93,0.0,18,a,12,0.0,0,1,1,1,1
2022-02-01,2/1/2022,10,29.84,0.0,9.55,9.55,E,Fair,79.0,59.0,51.0,6.0,0.0,29.93,0.0,19,a,12,0.0,0,1,1,1,1
2022-02-01,2/1/2022,11,32.38,0.0,13.39,13.39,VAR,Fair,82.0,57.0,42.0,3.0,0.0,29.9,0.0,20,a,0,0.0,0,1,1,1,1
