datetime,demand(kWh),hour_group,workday
1/1/2022 1:00,5.87,0,1
1/1/2022 2:00,5.95,0,1
1/1/2022 3:00,5.69,0,1
1/1/2022 4:00,6.05,0,1
1/1/2022 5:00,5.64,0,1
1/1/2022 6:00,5.47,0,0
1/1/2022 7:00,4.66,0,0
1/1/2022 8:00,2.72,0,0
1/1/2022 9:00,0.26,0,0
1/1/2022 10:00,0,0,0
1/1/2022 11:00,0,0,0
1/1/2022 12:00,0,0,0
1/1/2022 13:00,0,1,0
1/1/2022 14:00,0.03,1,0
1/1/2022 15:00,0.01,1,0
1/1/2022 16:00,0.02,1,0
1/1/2022 17:00,2.31,1,0
1/1/2022 18:00,5.56,1,0
1/1/2022 19:00,7.15,1,0
1/1/2022 20:00,6.73,1,0
1/1/2022 21:00,6.39,1,1
1/1/2022 22:00,6.63,1,1
1/1/2022 23:00,6.21,1,1
2/1/2022 1:00,5.88,0,1
2/1/2022 2:00,5.89,0,1
2/1/2022 3:00,5.73,0,1
2/1/2022 4:00,5.62,0,1
2/1/2022 5:00,5.58,0,1
2/1/2022 6:00,5.34,0,1
2/1/2022 7:00,4.41,0,1
2/1/2022 8:00,2.71,0,1
2/1/2022 9:00,0.11,0,1
2/1/2022 10:00,0,0,1
2/1/2022 11:00,0,0,1
2/1/2022 12:00,0,0,1
2/1/2022 13:00,0,1,1
2/1/2022 14:00,0.04,1,1
2/1/2022 15:00,0.73,1,1
2/1/2022 16:00,0.06,1,1
2/1/2022 17:00,1.47,1,1
2/1/2022 18:00,5.13,1,1
2/1/2022 19:00,6.32,1,1
2/1/2022 20:00,6.48,1,1
2/1/2022 21:00,6.09,1,1
2/1/2022 22:00,6.32,1,1
2/1/2022 23:00,6.27,1,1
3/1/2022 1:00,6.04,0,1
3/1/2022 2:00,5.97,0,1
3/1/2022 3:00,5.76,0,1
3/1/2022 4:00,5.99,0,1
3/1/2022 5:00,5.58,0,1
3/1/2022 6:00,5.42,0,1
3/1/2022 7:00,5.14,0,1
3/1/2022 8:00,4.21,0,1
3/1/2022 9:00,0.26,0,1
3/1/2022 10:00,0,0,1
3/1/2022 11:00,0,0,1
3/1/2022 12:00,0,0,1
3/1/2022 13:00,0,1,1
3/1/2022 14:00,0,1,1
3/1/2022 15:00,0,1,1
3/1/2022 16:00,0.07,1,1
3/1/2022 17:00,2.21,1,1
3/1/2022 18:00,5.32,1,1
3/1/2022 19:00,7.16,1,1
3/1/2022 20:00,8.66,1,1
3/1/2022 21:00,6.88,1,1
3/1/2022 22:00,6.35,1,1
3/1/2022 23:00,6.2,1,1
4/1/2022 1:00,6.1,0,1
4/1/2022 2:00,5.71,0,1
4/1/2022 3:00,5.91,0,1
4/1/2022 4:00,5.73,0,1
4/1/2022 5:00,5.79,0,1
4/1/2022 6:00,5.57,0,1
4/1/2022 7:00,5.11,0,1
4/1/2022 8:00,4.85,0,1
4/1/2022 9:00,3.54,0,1
4/1/2022 10:00,1.67,0,1
4/1/2022 11:00,0.16,0,1
4/1/2022 12:00,0.28,0,1
4/1/2022 13:00,0,1,1
4/1/2022 14:00,2.6,1,1
4/1/2022 15:00,13.54,1,1
4/1/2022 16:00,17.48,1,1
4/1/2022 17:00,20.9,1,1
4/1/2022 18:00,17.08,1,1
4/1/2022 19:00,13.84,1,1
4/1/2022 20:00,9.17,1,1
4/1/2022 21:00,6.49,1,1
4/1/2022 22:00,6.39,1,1
4/1/2022 23:00,6.19,1,1
5/1/2022 1:00,6.21,0,1
5/1/2022 11:00,0.03,0,0
5/1/2022 12:00,0.04,0,0
5/1/2022 13:00,2.93,1,0
5/1/2022 14:00,16.82,1,0
5/1/2022 15:00,24.54,1,0
5/1/2022 16:00,31.31,1,0
5/1/2022 17:00,23.44,1,0
5/1/2022 18:00,19.61,1,0
5/1/2022 19:00,13.69,1,0
5/1/2022 20:00,9.53,1,0
5/1/2022 21:00,7.17,1,1
5/1/2022 22:00,6.64,1,1
6/1/2022 6:00,1.87,0,1
6/1/2022 7:00,5.2,0,1
6/1/2022 8:00,3.95,0,1
6/1/2022 9:00,1.89,0,1
6/1/2022 10:00,0.14,0,1
6/1/2022 11:00,0,0,1
