date,hour,load_kW,demand(kWh),supply(kWh),net_kWh,Wind,Condition,temperature(°F),dew_point(°F),humidity(%),wind_speed(°mph),wind_gust(°mph),pressure(°in),precip(°in),time_idx,group,wind_direction,weather_condition,hour_group,holiday,weekend,workday,work_time
1/1/2022,1,3.29,5.87,0,-5.87,,,,,,,,,,0,a,,,0,1,1,1,0
1/1/2022,2,7.09,5.95,0,-5.95,,,,,,,,,,1,a,,,0,1,1,1,0
1/1/2022,3,3.14,5.69,0,-5.69,,,,,,,,,,2,a,,,0,1,1,1,0
1/1/2022,4,6.97,6.05,0,-6.05,,,,,,,,,,3,a,,,0,1,1,1,0
1/1/2022,5,3.92,5.64,0,-5.64,,,,,,,,,,4,a,,,0,1,1,1,0
1/1/2022,6,7.37,5.47,0,-5.47,NW,Fair,68,63,83,2,0,29.84,0,5,a,11,0,0,0,0,0,0
1/1/2022,7,9.21,4.66,0,-4.66,VAR,Fair,66,63,88,1,0,29.9,0,6,a,0,0,0,0,0,0,0
1/1/2022,8,5.67,2.72,0.13,-2.59,VAR,Fair,75,63,65,1,0,29.9,0,7,a,0,0,0,0,0,0,1
1/1/2022,9,17.84,0.26,3.01,2.75,ENE,Fair,77,61,57,5,0,29.93,0,8,a,2,0,0,0,0,0,1
1/1/2022,10,28.99,0,9.71,9.71,E,Fair,81,59,48,6,0,29.93,0,9,a,12,0,0,0,0,0,1
1/1/2022,11,32.47,0,13.11,13.11,VAR,Fair,82,57,42,5,0,29.9,0,10,a,0,0,0,0,0,0,1
1/1/2022,12,37.32,0,14.64,14.64,SE,Fair,84,59,42,3,0,29.9,0,11,a,4,0,0,0,0,0,1
1/1/2022,13,32.76,0,14.17,14.17,SE,Fair,84,57,40,6,0,29.84,0,12,a,4,0,1,0,0,0,1
1/1/2022,14,29.32,0.03,12.73,12.7,W,Fair,88,57,35,6,0,29.78,0,13,a,7,0,1,0,0,0,1
1/1/2022,15,23.34,0.01,9.97,9.96,SSW,Fair,88,59,38,7,0,29.75,0,14,a,16,0,1,0,0,0,1
1/1/2022,16,10.63,0.02,4.82,4.8,W,Fair,88,59,38,7,0,29.75,0,15,a,7,0,1,0,0,0,1
1/1/2022,17,9.11,2.31,0.57,-1.74,W,Fair,86,59,40,6,0,29.75,0,16,a,7,0,1,0,0,0,1
1/1/2022,18,0,5.56,0,-5.56,W,Fair,82,63,51,6,0,29.78,0,17,a,7,0,1,0,0,0,0
1/1/2022,19,4.02,7.15,0,-7.15,W,Fair,81,63,54,3,0,29.81,0,18,a,7,0,1,0,0,0,0
1/1/2022,20,7.08,6.73,0,-6.73,VAR,Fair,77,64,65,1,0,29.84,0,19,a,0,0,1,0,0,0,0
1/1/2022,21,3.74,6.39,0,-6.39,,,,,,,,,,20,a,,,1,1,1,1,0
1/1/2022,22,3.56,6.63,0,-6.63,,,,,,,,,,21,a,,,1,1,1,1,0
