id,name,new_date,new_datetime,hour,demand_kWh,supply_kWh
42,350kW,2021-12-01,2021-12-01 07:40:02,7,0,0
43,NDIR-SERT,2021-12-01,2021-12-01 07:40:02,7,4.29,0
44,120kW,2021-12-01,2021-12-01 07:40:02,7,0,0
45,SIMINAR,2021-12-01,2021-12-01 07:40:02,7,0.02,0
46,SGTECH,2021-12-01,2021-12-01 07:40:02,7,0.33,0
47,SEPCON LAB,2021-12-01,2021-12-01 07:40:02,7,0.48,0
48,TESTING,2021-12-01,2021-12-01 07:40:02,7,0.29,0
49,SIMINAR,2021-12-01,2021-12-01 08:02:53,8,0.02,0
50,NDIR-SERT,2021-12-01,2021-12-01 08:02:53,8,2.84,0.06
51,350kW,2021-12-01,2021-12-01 08:02:53,8,0,8.95
52,120kW,2021-12-01,2021-12-01 08:02:53,8,0,3.63
53,SGTECH,2021-12-01,2021-12-01 08:02:53,8,3.2,0
54,SEPCON LAB,2021-12-01,2021-12-01 08:02:53,8,0.77,0
55,TESTING,2021-12-01,2021-12-01 08:02:53,8,0.44,0
56,NDIR-SERT,2021-12-01,2021-12-01 09:00:05,9,7.44,0.01
57,120kW,2021-12-01,2021-12-01 09:00:05,9,0,13.73
58,350kW,2021-12-01,2021-12-01 09:00:05,9,0,37.25
59,SIMINAR,2021-12-01,2021-12-01 09:00:05,9,1.35,0
60,SGTECH,2021-12-01,2021-12-01 09:00:05,9,5.75,0
61,SEPCON LAB,2021-12-01,2021-12-01 09:00:05,9,1.12,0
62,TESTING,2021-12-01,2021-12-01 09:00:05,9,0.3,0
63,350kW,2021-12-01,2021-12-01 11:00:04,11,0,59.46
64,SIMINAR,2021-12-01,2021-12-01 11:00:04,11,1.76,0
65,120kW,2021-12-01,2021-12-01 11:00:04,11,0,21.19
66,NDIR-SERT,2021-12-01,2021-12-01 11:00:04,11,7.45,0
67,SEPCON LAB,2021-12-01,2021-12-01 11:00:04,11,4.05,0
68,SGTECH,2021-12-01,2021-12-01 11:00:04,11,4.98,0
69,TESTING,2021-12-01,2021-12-01 11:00:04,11,0.5,0
70,NDIR-SERT,2021-12-01,2021-12-01 12:00:45,12,11.24,0
71,SIMINAR,2021-12-01,2021-12-01 12:00:45,12,2.49,0
72,120kW,2021-12-01,2021-12-01 12:00:45,12,0,32.74
73,350kW,2021-12-01,2021-12-01 12:00:45,12,0,92.68
74,SGTECH,2021-12-01,2021-12-01 12:00:45,12,10.88,0
75,TESTING,2021-12-01,2021-12-01 12:00:45,12,0.79,0
76,SEPCON LAB,2021-12-01,2021-12-01 12:00:45,12,5.9,0
77,SIMINAR,2021-12-01,2021-12-01 13:00:45,13,2.61,0
78,NDIR-SERT,2021-12-01,2021-12-01 13:00:45,13,13.85,0
79,350kW,2021-12-01,2021-12-01 13:00:45,13,0,89.04
80,120kW,2021-12-01,2021-12-01 13:00:45,13,0,35.43
81,TESTING,2021-12-01,2021-12-01 13:00:46,13,1.28,0
82,SGTECH,2021-12-01,2021-12-01 13:00:46,13,21.4,0
83,SEPCON LAB,2021-12-01,2021-12-01 13:00:46,13,6.16,0
84,350kW,2021-12-01,2021-12-01 14:00:05,14,0,73.82
85,SIMINAR,2021-12-01,2021-12-01 14:00:05,14,2.6,0
86,120kW,2021-12-01,2021-12-01 14:00:05,14,0,32.4
87,NDIR-SERT,2021-12-01,2021-12-01 14:00:05,14,18.51,0
88,SGTECH,2021-12-01,2021-12-01 14:00:05,14,20.7,0
89,SEPCON LAB,2021-12-01,2021-12-01 14:00:05,14,6.07,0
90,TESTING,2021-12-01,2021-12-01 14:00:05,14,3.68,0
91,NDIR-SERT,2021-12-01,2021-12-01 15:48:33,15,11.05,0
92,120kW,2021-12-01,2021-12-01 15:48:33,15,0,14.45
93,SIMINAR,2021-12-01,2021-12-01 15:48:33,15,1.39,0
94,SEPCON LAB,2021-12-01,2021-12-01 15:48:33,15,3.52,0
95,350kW,2021-12-01,2021-12-01 15:48:33,15,0,24.16
96,SGTECH,2021-12-01,2021-12-01 15:48:33,15,8.89,0
97,TESTING,2021-12-01,2021-12-01 15:48:33,15,2.1,0
98,120kW,2021-12-01,2021-12-01 16:06:13,16,0,18.44
99,NDIR-SERT,2021-12-01,2021-12-01 16:06:13,16,21.28,0
100,SIMINAR,2021-12-01,2021-12-01 16:06:13,16,2.41,0
101,350kW,2021-12-01,2021-12-01 16:06:13,16,0,27.03
102,SEPCON LAB,2021-12-01,2021-12-01 16:06:13,16,5.66,0
103,SGTECH,2021-12-01,2021-12-01 16:06:13,16,13.41,0
104,TESTING,2021-12-01,2021-12-01 16:06:13,16,1.96,0
105,350kW,2021-12-01,2021-12-01 17:23:06,17,0,8.15
106,NDIR-SERT,2021-12-01,2021-12-01 17:23:06,17,30.91,0
107,SIMINAR,2021-12-01,2021-12-01 17:23:06,17,2.51,0
108,120kW,2021-12-01,2021-12-01 17:23:06,17,0,6.07
109,SEPCON LAB,2021-12-01,2021-12-01 17:23:06,17,4.13,0
