date,hour,demand(kWh),supply(kWh),Wind,Condition,humidity(%),wind_speed(°mph),wind_gust(°mph),pressure(°in),precip(°in),temperature(°C),dew_point(°C),time_idx,group,d,m,y,holiday,weekend,workday
2021-01-12,7,4.29,0.0,VAR,Fair,53,2,0,29.81,0,23.89,13.89,0,a,1,12,2021,1,1,1
2021-01-12,8,2.84,0.06,VAR,Fair,53,3,0,29.84,0,23.89,13.89,1,a,1,12,2021,1,1,1
2021-01-12,9,7.44,0.01,VAR,Fair,47,2,0,29.87,0,26.11,13.89,2,a,1,12,2021,1,1,1
2021-01-12,11,7.45,0.0,VAR,Fair,37,3,0,29.84,0,27.78,12.22,3,a,1,12,2021,1,1,1
2021-01-12,12,11.24,0.0,VAR,Fair,35,3,0,29.81,0,28.89,12.22,4,a,1,12,2021,1,1,1
2021-01-12,13,13.85,0.0,VAR,Fair,33,2,0,29.78,0,30.0,12.22,5,a,1,12,2021,1,1,1
2021-01-12,14,18.51,0.0,ESE,Fair,33,5,0,29.73,0,30.0,12.22,6,a,1,12,2021,1,1,1
2021-01-12,15,11.05,0.0,ESE,Fair,33,5,0,29.73,0,31.11,12.78,7,a,1,12,2021,1,1,1
2021-01-12,16,21.28,0.0,VAR,Fair,33,2,0,29.7,0,31.11,12.78,8,a,1,12,2021,1,1,1
2021-01-12,17,30.91,0.0,VAR,Fair,33,2,0,29.73,0,30.0,12.22,9,a,1,12,2021,1,1,1
2021-01-12,18,11.33,0.0,ESE,Fair,48,1,0,29.73,0,27.22,15.0,10,a,1,12,2021,1,1,1
2021-01-12,19,10.14,0.0,VAR,Fair,57,1,0,29.75,0,25.0,16.11,11,a,1,12,2021,1,1,1
2021-08-12,6,5.33,0.0,VAR,Fair,77,1,0,29.84,0,17.22,12.78,12,a,8,12,2021,1,1,1
2021-08-12,7,4.41,0.0,VAR,Fair,82,1,0,29.87,0,17.22,13.89,13,a,8,12,2021,1,1,1
2021-08-12,8,2.72,0.2,VAR,Fair,60,2,0,29.9,0,21.11,12.78,14,a,8,12,2021,1,1,1
2021-08-12,9,1.99,1.03,ENE,Fair,53,3,0,29.9,0,22.78,12.78,15,a,8,12,2021,1,1,1
2021-08-12,10,2.54,1.85,NE,Fair,44,3,0,29.9,0,25.0,12.22,16,a,8,12,2021,1,1,1
2021-08-12,11,4.5,4.41,SE,Fair,30,3,0,29.9,0,27.22,7.78,17,a,8,12,2021,1,1,1
2021-08-12,12,4.9,4.88,WNW,Fair,32,3,0,29.87,0,27.78,10.0,18,a,8,12,2021,1,1,1
2021-08-12,13,4.64,4.26,WSW,Fair,35,3,0,29.84,0,27.78,11.11,19,a,8,12,2021,1,1,1
2021-08-12,14,2.83,1.02,W,Fair,32,5,0,29.81,0,27.78,10.0,20,a,8,12,2021,1,1,1
2021-08-12,15,5.38,0.19,WSW,Fair,35,5,0,29.78,0,28.89,12.22,21,a,8,12,2021,1,1,1
2021-08-12,16,9.07,0.0,W,Fair,37,5,0,29.75,0,27.78,12.22,22,a,8,12,2021,1,1,1
2021-08-12,17,11.39,0.0,W,Fair,37,5,0,29.78,0,27.78,12.22,23,a,8,12,2021,1,1,1
2021-08-12,18,9.08,0.0,W,Fair,44,5,0,29.78,0,26.11,12.78,24,a,8,12,2021,1,1,1
2021-08-12,19,8.1,0.0,NNW,Fair,61,1,0,29.81,0,22.78,15.0,25,a,8,12,2021,1,1,1
2021-08-12,20,6.38,0.0,CALM,Fair,69,0,0,29.81,0,22.22,16.11,26,a,8,12,2021,1,1,1
2021-09-12,6,5.07,0.0,N,Fair,83,2,0,29.87,0,18.89,16.11,27,a,9,12,2021,1,0,0
2021-09-12,7,4.5,0.0,VAR,Fair,83,2,0,29.87,0,18.89,16.11,28,a,9,12,2021,1,0,0
2021-09-12,8,3.61,0.0,VAR,Fair,78,2,0,29.9,0,21.11,17.22,29,a,9,12,2021,1,0,0
2021-09-12,9,2.43,0.73,NNW,Fair,65,3,0,29.93,0,22.78,16.11,30,a,9,12,2021,1,0,0
2021-09-12,10,4.54,0.91,N,Fair,57,3,0,29.93,0,25.0,16.11,31,a,9,12,2021,1,0,0
2021-09-12,11,4.71,0.86,NW,Fair,51,6,0,29.9,0,27.22,16.11,32,a,9,12,2021,1,0,0
2021-09-12,12,8.78,0.28,NW,Fair,45,6,0,29.87,0,28.89,16.11,33,a,9,12,2021,1,0,0
2021-09-12,13,5.63,0.72,WNW,Fair,48,8,0,29.84,0,28.89,17.22,34,a,9,12,2021,1,0,0
2021-09-12,14,5.91,0.27,NW,Fair,40,5,0,29.78,0,31.11,16.11,35,a,9,12,2021,1,0,0
2021-09-12,15,15.14,0.0,W,Fair,43,7,0,29.78,0,31.11,17.22,36,a,9,12,2021,1,0,0
2021-09-12,16,22.61,0.0,WSW,Fair,43,5,0,29.78,0,31.11,17.22,37,a,9,12,2021,1,0,0
2021-09-12,17,23.09,0.0,W,Fair,51,5,0,29.78,0,28.89,17.78,38,a,9,12,2021,1,0,0
2021-09-12,18,14.22,0.0,W,Fair,58,3,0,29.81,0,27.22,17.78,39,a,9,12,2021,1,0,0
2021-09-12,19,10.03,0.0,NW,Fair,65,3,0,29.81,0,26.11,18.89,40,a,9,12,2021,1,0,0
2021-09-12,20,8.87,0.0,CALM,Fair,73,0,0,29.84,0,23.89,18.89,41,a,9,12,2021,1,0,0
2021-10-12,6,6.03,0.0,CALM,Fair,88,0,0,29.84,0,21.11,18.89,42,a,10,12,2021,1,1,1
2021-10-12,7,5.72,0.0,VAR,Fair,83,2,0,29.84,0,22.22,18.89,43,a,10,12,2021,1,1,1
2021-10-12,8,2.39,0.11,VAR,Fair,73,2,0,29.87,0,23.89,18.89,44,a,10,12,2021,1,1,1
2021-10-12,9,3.18,2.85,VAR,Fair,61,2,0,29.9,0,27.22,18.89,45,a,10,12,2021,1,1,1
2021-10-12,10,8.73,8.73,VAR,Fair,51,2,0,29.87,0,27.78,17.22,46,a,10,12,2021,1,1,1
2021-10-12,11,7.29,7.29,VAR,Fair,45,3,0,29.84,0,30.0,17.22,47,a,10,12,2021,1,1,1
2021-10-12,12,10.44,10.44,VAR,Fair,45,5,0,29.81,0,30.0,17.22,48,a,10,12,2021,1,1,1
2021-10-12,13,9.76,9.76,VAR,Fair,43,3,0,29.78,0,31.11,17.22,49,a,10,12,2021,1,1,1
2021-10-12,14,6.89,4.67,VAR,Fair,43,5,0,29.75,0,31.11,17.22,50,a,10,12,2021,1,1,1
2021-10-12,15,2.4,1.27,NW,Fair,46,7,0,29.73,0,31.11,17.78,51,a,10,12,2021,1,1,1
2021-10-12,16,5.0,0.15,W,Fair,43,7,0,29.73,0,31.11,17.22,52,a,10,12,2021,1,1,1
2021-10-12,17,10.11,0.0,W,Fair,45,5,0,29.73,0,30.0,17.22,53,a,10,12,2021,1,1,1
2021-10-12,18,13.33,0.0,W,Fair,54,3,0,29.73,0,27.78,17.78,54,a,10,12,2021,1,1,1
2021-10-12,19,13.75,0.0,CALM,Fair,65,0,0,29.75,0,26.11,18.89,55,a,10,12,2021,1,1,1
2021-10-12,20,13.27,0.0,CALM,Fair,69,0,0,29.78,0,25.0,18.89,56,a,10,12,2021,1,1,1
