date,hour,demand,temp,time_idx,group,d,m,y,holiday,weekend,workday
2021-01-12,7,4.29,23.89,0,a,1,12,2021,1,1,1
2021-01-12,8,2.84,23.89,1,a,1,12,2021,1,1,1
2021-01-12,9,7.44,26.11,2,a,1,12,2021,1,1,1
2021-01-12,11,7.45,27.78,3,a,1,12,2021,1,1,1
2021-01-12,12,11.24,28.89,4,a,1,12,2021,1,1,1
2021-01-12,13,13.85,30.0,5,a,1,12,2021,1,1,1
2021-01-12,14,18.51,30.0,6,a,1,12,2021,1,1,1
2021-01-12,15,11.05,31.11,7,a,1,12,2021,1,1,1
2021-01-12,16,21.28,31.11,8,a,1,12,2021,1,1,1
2021-01-12,17,30.91,30.0,9,a,1,12,2021,1,1,1
2021-01-12,18,11.33,27.22,10,a,1,12,2021,1,1,1
2021-01-12,19,10.14,25.0,11,a,1,12,2021,1,1,1
2021-08-12,6,5.33,17.22,12,a,8,12,2021,1,1,1
2021-08-12,7,4.41,17.22,13,a,8,12,2021,1,1,1
2021-08-12,8,2.72,21.11,14,a,8,12,2021,1,1,1
2021-08-12,9,1.99,22.78,15,a,8,12,2021,1,1,1
2021-08-12,10,2.54,25.0,16,a,8,12,2021,1,1,1
2021-08-12,11,4.5,27.22,17,a,8,12,2021,1,1,1
2021-08-12,12,4.9,27.78,18,a,8,12,2021,1,1,1
2021-08-12,13,4.64,27.78,19,a,8,12,2021,1,1,1
2021-08-12,14,2.83,27.78,20,a,8,12,2021,1,1,1
2021-08-12,15,5.38,28.89,21,a,8,12,2021,1,1,1
2021-08-12,16,9.07,27.78,22,a,8,12,2021,1,1,1
2021-08-12,17,11.39,27.78,23,a,8,12,2021,1,1,1
2021-08-12,18,9.08,26.11,24,a,8,12,2021,1,1,1
2021-08-12,19,8.1,22.78,25,a,8,12,2021,1,1,1
2021-08-12,20,6.38,22.22,26,a,8,12,2021,1,1,1
2021-09-12,6,5.07,18.89,27,a,9,12,2021,1,0,0
2021-09-12,7,4.5,18.89,28,a,9,12,2021,1,0,0
2021-09-12,8,3.61,21.11,29,a,9,12,2021,1,0,0
2021-09-12,9,2.43,22.78,30,a,9,12,2021,1,0,0
2021-09-12,10,4.54,25.0,31,a,9,12,2021,1,0,0
2021-09-12,11,4.71,27.22,32,a,9,12,2021,1,0,0
2021-09-12,12,8.78,28.89,33,a,9,12,2021,1,0,0
2021-09-12,13,5.63,28.89,34,a,9,12,2021,1,0,0
2021-09-12,14,5.91,31.11,35,a,9,12,2021,1,0,0
2021-09-12,15,15.14,31.11,36,a,9,12,2021,1,0,0
2021-09-12,16,22.61,31.11,37,a,9,12,2021,1,0,0
2021-09-12,17,23.09,28.89,38,a,9,12,2021,1,0,0
2021-09-12,18,14.22,27.22,39,a,9,12,2021,1,0,0
2021-09-12,19,10.03,26.11,40,a,9,12,2021,1,0,0
2021-09-12,20,8.87,23.89,41,a,9,12,2021,1,0,0
2021-10-12,6,6.03,21.11,42,a,10,12,2021,1,1,1
2021-10-12,7,5.72,22.22,43,a,10,12,2021,1,1,1
2021-10-12,8,2.39,23.89,44,a,10,12,2021,1,1,1
2021-10-12,9,3.18,27.22,45,a,10,12,2021,1,1,1
2021-10-12,10,8.73,27.78,46,a,10,12,2021,1,1,1
2021-10-12,11,7.29,30.0,47,a,10,12,2021,1,1,1
2021-10-12,12,10.44,30.0,48,a,10,12,2021,1,1,1
2021-10-12,13,9.76,31.11,49,a,10,12,2021,1,1,1
2021-10-12,14,6.89,31.11,50,a,10,12,2021,1,1,1
2021-10-12,15,2.4,31.11,51,a,10,12,2021,1,1,1
2021-10-12,16,5.0,31.11,52,a,10,12,2021,1,1,1
2021-10-12,17,10.11,30.0,53,a,10,12,2021,1,1,1
2021-10-12,18,13.33,27.78,54,a,10,12,2021,1,1,1
2021-10-12,19,13.75,26.11,55,a,10,12,2021,1,1,1
2021-10-12,20,13.27,25.0,56,a,10,12,2021,1,1,1
2021-11-12,6,6.08,20.0,57,a,11,12,2021,1,1,1
2021-11-12,7,5.29,21.11,58,a,11,12,2021,1,1,1
2021-11-12,8,2.67,23.89,59,a,11,12,2021,1,1,1
2021-11-12,9,3.02,26.11,60,a,11,12,2021,1,1,1
2021-11-12,10,7.8,27.78,61,a,11,12,2021,1,1,1
2021-11-12,11,6.32,28.89,62,a,11,12,2021,1,1,1
2021-11-12,12,7.89,30.0,63,a,11,12,2021,1,1,1
2021-11-12,13,9.27,31.11,64,a,11,12,2021,1,1,1
2021-11-12,14,6.94,31.11,65,a,11,12,2021,1,1,1
2021-11-12,15,6.11,31.11,66,a,11,12,2021,1,1,1
2021-11-12,16,11.24,32.22,67,a,11,12,2021,1,1,1
2021-11-12,17,12.38,30.0,68,a,11,12,2021,1,1,1
2021-11-12,18,9.52,27.78,69,a,11,12,2021,1,1,1
2021-11-12,19,12.19,27.22,70,a,11,12,2021,1,1,1
2021-11-12,20,10.41,27.22,71,a,11,12,2021,1,1,1
2021-12-12,6,6.48,18.89,72,a,12,12,2021,1,0,0
2021-12-12,7,5.62,20.0,73,a,12,12,2021,1,0,0
2021-12-12,8,2.91,22.78,74,a,12,12,2021,1,0,0
2021-12-12,9,3.98,26.11,75,a,12,12,2021,1,0,0
2021-12-12,10,9.71,27.22,76,a,12,12,2021,1,0,0
2021-12-12,11,13.03,28.89,77,a,12,12,2021,1,0,0
2021-12-12,12,13.9,28.89,78,a,12,12,2021,1,0,0
2021-12-12,13,13.02,30.0,79,a,12,12,2021,1,0,0
2021-12-12,14,10.76,30.0,80,a,12,12,2021,1,0,0
2021-12-12,15,6.53,31.11,81,a,12,12,2021,1,0,0
2021-12-12,16,3.74,31.11,82,a,12,12,2021,1,0,0
