new_date,hour,load_kW,demand_kWh,supply_kWh,net_kWh
1/1/2022,1,3.29,5.87,0,-5.87
1/1/2022,2,7.09,5.95,0,-5.95
1/1/2022,3,3.14,5.69,0,-5.69
1/1/2022,4,6.97,6.05,0,-6.05
1/1/2022,5,3.92,5.64,0,-5.64
1/1/2022,6,7.37,5.47,0,-5.47
1/1/2022,7,9.21,4.66,0,-4.66
1/1/2022,8,5.67,2.72,0.13,-2.59
1/1/2022,9,17.84,0.26,3.01,2.75
1/1/2022,10,28.99,0,9.71,9.71
1/1/2022,11,32.47,0,13.11,13.11
1/1/2022,12,37.32,0,14.64,14.64
1/1/2022,13,32.76,0,14.17,14.17
1/1/2022,14,29.32,0.03,12.73,12.7
1/1/2022,15,23.34,0.01,9.97,9.96
1/1/2022,16,10.63,0.02,4.82,4.8
1/1/2022,17,9.11,2.31,0.57,-1.74
1/1/2022,18,0,5.56,0,-5.56
1/1/2022,19,4.02,7.15,0,-7.15
1/1/2022,20,7.08,6.73,0,-6.73
1/1/2022,21,3.74,6.39,0,-6.39
1/1/2022,22,3.56,6.63,0,-6.63
1/1/2022,23,5.99,6.21,0,-6.21
2/1/2022,1,3.55,5.88,0,-5.88
2/1/2022,2,4.96,5.89,0,-5.89
2/1/2022,3,3.36,5.73,0,-5.73
2/1/2022,4,9.19,5.62,0,-5.62
2/1/2022,5,6.02,5.58,0,-5.58
2/1/2022,6,5.85,5.34,0,-5.34
2/1/2022,7,6.55,4.41,0,-4.41
2/1/2022,8,7.27,2.71,0.18,-2.53
2/1/2022,9,17.75,0.11,2.74,2.63
2/1/2022,10,29.84,0,9.55,9.55
2/1/2022,11,32.38,0,13.39,13.39
2/1/2022,12,33.49,0,15.06,15.06
2/1/2022,13,35.67,0,14.35,14.35
2/1/2022,14,28.65,0.04,13.46,13.42
2/1/2022,15,19.75,0.73,6.9,6.17
2/1/2022,16,8.52,0.06,4.7,4.64
2/1/2022,17,5.99,1.47,0.6,-0.87
2/1/2022,18,0,5.13,0,-5.13
2/1/2022,19,4.68,6.32,0,-6.32
2/1/2022,20,6.77,6.48,0,-6.48
