new_date,hour,load_kW,demand_kWh,supply_kWh,net_kWh
1/7/2022,1,56.76,0,0,0
1/7/2022,2,56.76,0,0,0
1/7/2022,3,56.76,0,0,0
1/7/2022,4,56.76,0,0,0
1/7/2022,5,56.76,0,0,0
1/7/2022,6,56.76,0,0,0
1/7/2022,7,56.76,0,0,0
1/7/2022,8,56.76,0,0,0
1/7/2022,9,56.76,0,0,0
1/7/2022,10,56.76,0,0,0
1/7/2022,11,56.76,0,0,0
1/7/2022,12,56.76,0,0,0
1/7/2022,13,56.76,0,0,0
1/7/2022,14,56.76,0,0,0
1/7/2022,15,56.76,0,0,0
1/7/2022,16,56.76,0,0,0
1/7/2022,17,56.76,0,0,0
1/7/2022,18,56.76,0,0,0
1/7/2022,19,56.76,0,0,0
1/7/2022,20,56.76,0,0,0
1/7/2022,21,56.76,0,0,0
1/7/2022,22,56.76,0,0,0
1/7/2022,23,56.76,0,0,0
2/7/2022,1,56.76,0,0,0
2/7/2022,2,56.76,0,0,0
2/7/2022,3,56.76,0,0,0
2/7/2022,4,56.76,0,0,0
2/7/2022,5,56.76,0,0,0
2/7/2022,6,56.76,0,0,0
2/7/2022,7,56.76,0,0,0
2/7/2022,8,56.76,0,0,0
2/7/2022,9,56.76,0,0,0
2/7/2022,10,56.76,0,0,0
2/7/2022,11,56.76,0,0,0
2/7/2022,12,56.76,0,0,0
2/7/2022,13,56.76,0,0,0
2/7/2022,14,56.76,0,0,0
2/7/2022,15,56.76,0,0,0
2/7/2022,16,56.76,0,0,0
2/7/2022,17,56.76,0,0,0
2/7/2022,18,56.76,0,0,0
2/7/2022,19,56.76,0,0,0
2/7/2022,20,56.76,0,0,0
2/7/2022,21,56.76,0,0,0
2/7/2022,22,56.76,0,0,0
2/7/2022,23,56.76,0,0,0
3/7/2022,1,56.76,0,0,0
3/7/2022,2,56.76,0,0,0
3/7/2022,3,56.76,0,0,0
3/7/2022,4,56.76,0,0,0
3/7/2022,5,56.76,0,0,0
3/7/2022,6,56.76,0,0,0
3/7/2022,7,56.76,0,0,0
3/7/2022,8,56.76,0,0,0
3/7/2022,9,56.76,0,0,0
3/7/2022,10,56.76,0,0,0
3/7/2022,11,56.76,0,0,0
3/7/2022,12,56.76,0,0,0
3/7/2022,13,56.76,0,0,0
3/7/2022,14,56.76,0,0,0
3/7/2022,15,56.76,0,0,0
3/7/2022,16,56.76,0,0,0
3/7/2022,17,56.76,0,0,0
3/7/2022,18,56.76,0,0,0
3/7/2022,19,56.76,0,0,0
3/7/2022,20,56.76,0,0,0
3/7/2022,21,56.76,0,0,0
3/7/2022,22,56.76,0,0,0
3/7/2022,23,56.76,0,0,0
4/7/2022,1,56.76,0,0,0
4/7/2022,2,56.76,0,0,0
4/7/2022,3,56.76,0,0,0
4/7/2022,4,56.76,0,0,0
4/7/2022,5,56.76,0,0,0
4/7/2022,6,56.76,0,0,0
4/7/2022,7,56.76,0,0,0
4/7/2022,8,56.76,0,0,0
4/7/2022,9,56.76,0,0,0
4/7/2022,10,56.76,0,0,0
4/7/2022,11,56.76,0,0,0
4/7/2022,12,56.76,0,0,0
4/7/2022,13,56.76,0,0,0
4/7/2022,14,56.76,0,0,0
4/7/2022,16,56.76,0,0,0
4/7/2022,17,56.76,0,0,0
4/7/2022,18,56.76,0,0,0
4/7/2022,19,56.76,0,0,0
4/7/2022,20,56.76,0,0,0
4/7/2022,21,56.76,0,0,0
4/7/2022,22,56.76,0,0,0
4/7/2022,23,56.76,0,0,0
5/7/2022,1,56.76,0,0,0
5/7/2022,2,56.76,0,0,0
5/7/2022,3,56.76,0,0,0
5/7/2022,4,56.76,0,0,0
5/7/2022,5,56.76,0,0,0
5/7/2022,6,56.76,0,0,0
5/7/2022,7,56.76,0,0,0
5/7/2022,8,56.76,0,0,0
5/7/2022,9,56.76,0,0,0
5/7/2022,10,56.76,0,0,0
5/7/2022,11,56.76,0,0,0
5/7/2022,12,56.76,0,0,0
5/7/2022,13,56.76,0,0,0
5/7/2022,14,56.76,0,0,0
5/7/2022,15,56.76,0,0,0
5/7/2022,16,56.76,0,0,0
5/7/2022,18,30.73,35.94,0,-35.94
5/7/2022,19,26.91,31.41,0,-31.41
5/7/2022,20,12.89,16.26,0,-16.26
5/7/2022,21,15.1,12.91,0,-12.91
5/7/2022,22,13.14,12.72,0,-12.72
5/7/2022,23,14.8,12.17,0,-12.17
6/7/2022,1,14.19,12.21,0,-12.21
6/7/2022,2,14.63,12.23,0,-12.23
6/7/2022,3,12.15,12.02,0,-12.02
6/7/2022,4,8.51,11.04,0,-11.04
6/7/2022,5,13.85,10.38,0,-10.38
6/7/2022,6,11.81,9.75,0,-9.75
6/7/2022,7,12.02,7.95,0,-7.95
6/7/2022,8,10.67,6.53,0,-6.53
6/7/2022,9,46.24,26.41,0,-26.41
6/7/2022,10,43.75,35.42,0,-35.42
6/7/2022,11,42.25,26.31,0,-26.31
6/7/2022,12,47.05,32.08,0,-32.08
6/7/2022,13,43.42,32.17,0,-32.17
6/7/2022,14,47.66,30.33,0,-30.33
6/7/2022,15,51.34,35.36,0,-35.36
6/7/2022,16,44.75,36.69,0,-36.69
6/7/2022,17,38.64,41.36,0,-41.36
6/7/2022,18,19.38,23.61,0,-23.61
6/7/2022,19,23.23,19.12,0,-19.12
6/7/2022,21,13.77,13.58,0,-13.58
6/7/2022,22,13.79,13.03,0,-13.03
6/7/2022,23,8.69,11.73,0,-11.73
7/7/2022,1,11.59,11.68,0,-11.68
7/7/2022,2,12.58,11.36,0,-11.36
7/7/2022,3,10.33,12.06,0,-12.06
7/7/2022,4,10.93,10.41,0,-10.41
7/7/2022,5,13.63,10.47,0,-10.47
7/7/2022,6,1.14,9.8,0,-9.8
7/7/2022,7,19.84,9.42,0,-9.42
7/7/2022,8,26.32,16.19,0,-16.19
7/7/2022,9,41.01,34.84,0,-34.84
7/7/2022,10,53.84,41.33,0,-41.33
7/7/2022,11,42.26,38.31,0,-38.31
7/7/2022,12,77.52,47.56,0,-47.56
7/7/2022,13,71.28,61.74,0,-61.74
7/7/2022,14,66.12,60.22,0,-60.22
7/7/2022,15,69.57,59.62,0,-59.62
7/7/2022,16,44.26,44.02,0,-44.02
7/7/2022,17,26.59,33.72,0,-33.72
7/7/2022,18,16.24,16.56,0,-16.56
7/7/2022,19,14.37,15.86,0,-15.86
7/7/2022,20,12.64,12.62,0,-12.62
7/7/2022,21,12.21,11.86,0,-11.86
7/7/2022,22,11.81,11.55,0,-11.55
7/7/2022,23,11.28,11.17,0,-11.17
8/7/2022,1,12.78,10.57,0,-10.57
8/7/2022,2,11.24,11.58,0,-11.58
8/7/2022,3,11.85,10.6,0,-10.6
8/7/2022,4,8.15,9.75,0,-9.75
8/7/2022,5,10.92,9.51,0,-9.51
8/7/2022,7,7.63,6.88,0,-6.88
8/7/2022,8,22.32,7.17,0,-7.17
8/7/2022,9,43.23,21.13,0,-21.13
8/7/2022,10,45.42,30.11,0,-30.11
8/7/2022,11,52.12,31.17,0,-31.17
8/7/2022,12,54.15,31.61,0,-31.61
8/7/2022,13,56.45,33.64,0,-33.64
8/7/2022,14,47.91,34.67,0,-34.67
8/7/2022,15,48.64,27.42,0,-27.42
8/7/2022,16,50.77,36.52,0,-36.52
8/7/2022,17,28.15,35.78,0,-35.78
8/7/2022,18,20.94,17.25,0,-17.25
8/7/2022,20,9.94,11.51,0,-11.51
8/7/2022,21,13.38,10.81,0,-10.81
8/7/2022,22,10.93,10.69,0,-10.69
8/7/2022,23,7.58,9.95,0,-9.95
9/7/2022,1,10,9.1,0,-9.1
9/7/2022,2,12.16,9.53,0,-9.53
9/7/2022,3,10.49,9.34,0,-9.34
9/7/2022,4,7.21,8.92,0,-8.92
9/7/2022,5,5.65,8.53,0,-8.53
9/7/2022,6,8.66,8.14,0,-8.14
9/7/2022,7,6.38,6.75,0,-6.75
9/7/2022,8,7.97,4.86,0,-4.86
9/7/2022,9,9.29,1.07,1.27,0.2
9/7/2022,10,17.78,0.67,3.14,2.47
9/7/2022,11,19.66,2.08,2.69,0.61
9/7/2022,12,36.37,0.95,5.45,4.5
9/7/2022,13,23.55,1.81,4.24,2.43
9/7/2022,14,13.76,6.85,3.02,-3.83
9/7/2022,15,30.74,9.6,0.44,-9.16
9/7/2022,16,30.3,11.83,0,-11.83
9/7/2022,17,23.32,18.63,0,-18.63
9/7/2022,18,22.46,22.15,0,-22.15
9/7/2022,19,13.2,20.13,0,-20.13
9/7/2022,20,13.92,11.95,0,-11.95
9/7/2022,21,15.1,10.53,0,-10.53
9/7/2022,22,9.91,10.44,0,-10.44
9/7/2022,23,10.53,9,0,-9
10/7/2022,1,11.09,9.97,0,-9.97
10/7/2022,2,11.02,9.18,0,-9.18
10/7/2022,3,7.49,9.03,0,-9.03
10/7/2022,4,5.54,8.42,0,-8.42
10/7/2022,5,5.42,8.12,0,-8.12
10/7/2022,6,0,8.05,0,-8.05
10/7/2022,7,10.04,6.64,0,-6.64
10/7/2022,8,8.96,2.47,0.22,-2.25
10/7/2022,9,27.01,0.44,2.23,1.79
10/7/2022,10,25.71,0.08,4.23,4.15
10/7/2022,11,22.79,0,6.05,6.05
10/7/2022,12,21.83,0.18,6.11,5.93
10/7/2022,13,14.85,0.03,6.57,6.54
10/7/2022,14,40.78,0.44,6.55,6.11
10/7/2022,15,10.4,0.5,7.8,7.3
10/7/2022,16,8.98,5.56,0.43,-5.13
10/7/2022,17,6.97,5.16,0.2,-4.96
10/7/2022,18,8.71,9.63,0,-9.63
10/7/2022,19,10.69,10.18,0,-10.18
10/7/2022,20,11.23,10.07,0,-10.07
10/7/2022,21,11.3,9.98,0,-9.98
10/7/2022,22,8.37,9.95,0,-9.95
10/7/2022,23,9.34,10.03,0,-10.03
11/7/2022,1,10.61,9.66,0,-9.66
11/7/2022,2,7.3,9.26,0,-9.26
11/7/2022,3,10.15,8.81,0,-8.81
11/7/2022,4,9.69,8.94,0,-8.94
11/7/2022,5,9.83,9.33,0,-9.33
11/7/2022,6,5.37,7.97,0,-7.97
11/7/2022,7,10.86,6.2,0,-6.2
11/7/2022,8,9.8,4.89,0,-4.89
11/7/2022,9,37.13,16.06,0.01,-16.05
11/7/2022,10,56.03,26.94,0,-26.94
11/7/2022,11,41.15,32.89,0,-32.89
11/7/2022,12,41.44,28.07,0,-28.07
11/7/2022,13,37.54,25.93,0,-25.93
11/7/2022,14,35.34,28.35,0,-28.35
11/7/2022,15,46.1,32.39,0,-32.39
11/7/2022,16,46.51,33.84,0,-33.84
11/7/2022,17,35.04,35.55,0,-35.55
11/7/2022,18,15.77,23.12,0,-23.12
11/7/2022,19,11.93,14.21,0,-14.21
11/7/2022,20,11.39,11.03,0,-11.03
11/7/2022,21,7.63,10.09,0,-10.09
11/7/2022,23,9.09,10.56,0,-10.56
12/7/2022,1,9,10.48,0,-10.48
12/7/2022,2,8.37,9.94,0,-9.94
12/7/2022,3,7.35,10.06,0,-10.06
12/7/2022,4,6.9,8.67,0,-8.67
12/7/2022,5,9.88,8.31,0,-8.31
12/7/2022,6,4.66,8.32,0,-8.32
12/7/2022,7,9.5,7.22,0,-7.22
12/7/2022,8,11.22,6.2,0,-6.2
12/7/2022,9,43.98,30.47,0,-30.47
12/7/2022,10,53.16,44.65,0,-44.65
12/7/2022,11,49.02,41.5,0,-41.5
12/7/2022,12,43.27,38.36,0,-38.36
12/7/2022,13,42.71,33.3,0,-33.3
12/7/2022,14,44.6,30.11,0,-30.11
12/7/2022,15,49.18,35.86,0,-35.86
12/7/2022,16,43.06,37.58,0,-37.58
12/7/2022,17,42.4,37.92,0,-37.92
12/7/2022,18,17.25,17.28,0,-17.28
12/7/2022,19,11.72,14.3,0,-14.3
12/7/2022,20,11.76,11.28,0,-11.28
12/7/2022,21,12.02,10.83,0,-10.83
12/7/2022,23,8.66,10.68,0,-10.68
13/7/2022,1,11.35,10.31,0,-10.31
13/7/2022,2,8.74,10.17,0,-10.17
13/7/2022,3,8.35,9.97,0,-9.97
13/7/2022,4,8.04,9.7,0,-9.7
13/7/2022,5,8.22,8.83,0,-8.83
13/7/2022,6,6.67,8.53,0,-8.53
17/7/2022,12,37.31,0.19,2.34,2.15
17/7/2022,13,32.3,1.47,8.59,7.12
17/7/2022,14,10.79,2.61,7.6,4.99
17/7/2022,15,13.12,2.14,4.28,2.14
17/7/2022,16,15.63,6.81,0,-6.81
17/7/2022,17,13.64,6.49,0,-6.49
17/7/2022,18,14.01,8.37,0,-8.37
17/7/2022,19,13.64,11.77,0,-11.77
17/7/2022,20,11.17,11.4,0,-11.4
17/7/2022,21,12.71,11.47,0,-11.47
17/7/2022,22,9.63,11.89,0,-11.89
17/7/2022,23,12.06,12.1,0,-12.1
18/7/2022,1,11.35,10.5,0,-10.5
18/7/2022,2,7.69,10.09,0,-10.09
18/7/2022,3,10.9,9.61,0,-9.61
18/7/2022,4,10.59,9.52,0,-9.52
18/7/2022,5,10.51,9.47,0,-9.47
18/7/2022,7,6.77,7.94,0,-7.94
