id,new_date,hour,load_kW,demand_kWh,supply_kWh,net_kWh
53518,2022-10-18,22,8.1,8.76,0,-8.76
53525,2022-10-18,23,8.18,8.28,0,-8.28
53534,2022-10-19,1,7.57,7.83,0,-7.83
53545,2022-10-19,2,7.66,7.36,0,-7.36
53557,2022-10-19,3,7.06,7.04,0,-7.04
53562,2022-10-19,4,7.01,6.85,0,-6.85
53574,2022-10-19,5,7.24,6.87,0,-6.87
53585,2022-10-19,8,15.37,0.84,1.1,0.26
53594,2022-10-19,9,38.3,11.83,0.98,-10.85
53601,2022-10-19,10,45.18,23.45,0,-23.45
53610,2022-10-19,11,37.56,18.11,0,-18.11
53620,2022-10-19,12,38.57,12.41,0,-12.41
53629,2022-10-19,13,33.52,13.25,0,-13.25
53640,2022-10-19,14,33.05,15.28,0,-15.28
53650,2022-10-19,15,36.11,22.2,0,-22.2
53654,2022-10-19,16,41.96,26.74,0,-26.74
53666,2022-10-19,17,27.21,31.51,0,-31.51
53673,2022-10-19,18,11.83,18.74,0,-18.74
53686,2022-10-19,20,7.03,7.24,0,-7.24
53691,2022-10-19,21,7.05,7.25,0,-7.25
53703,2022-10-19,22,7.93,7.14,0,-7.14
53709,2022-10-19,23,6.28,6.61,0,-6.61
53722,2022-10-20,1,6.34,6.58,0,-6.58
53726,2022-10-20,2,4.67,6.5,0,-6.5
53740,2022-10-20,3,6.82,6.14,0,-6.14
53746,2022-10-20,4,6.65,6.04,0,-6.04
53756,2022-10-20,5,6.02,6.03,0,-6.03
53767,2022-10-20,6,3.64,5.66,0,-5.66
53776,2022-10-20,7,4.82,4.23,0,-4.23
53783,2022-10-20,8,11.52,1.04,1.07,0.03
53792,2022-10-20,9,32.96,4.98,0.82,-4.16
53795,2022-10-20,10,21.9,9.72,0,-9.72
53806,2022-10-20,11,30.26,7.37,0.01,-7.36
53813,2022-10-20,12,27.79,8.35,0,-8.35
53822,2022-10-20,13,41.33,16.51,0,-16.51
53834,2022-10-20,14,28.96,15.74,0,-15.74
53845,2022-10-20,15,33.77,17.36,0,-17.36
53850,2022-10-20,16,36.43,27.47,0,-27.47
53858,2022-10-20,17,37.18,29.31,0,-29.31
53867,2022-10-20,18,12.78,18.37,0,-18.37
53877,2022-10-20,19,11.18,12.11,0,-12.11
53885,2022-10-20,20,8.87,11.52,0,-11.52
53899,2022-10-20,21,6.8,8.55,0,-8.55
53906,2022-10-20,23,6.76,6.98,0,-6.98
53915,2022-10-21,1,6.83,6.46,0,-6.46
53930,2022-10-21,3,6.45,6.31,0,-6.31
53944,2022-10-21,6,4.1,5,0,-5
53948,2022-10-21,7,6.23,4.5,0,-4.5
53962,2022-10-21,8,14.12,0.86,1.38,0.52
53970,2022-10-21,10,26.01,6.28,0,-6.28
53978,2022-10-21,11,23.93,12.36,0,-12.36
53991,2022-10-21,13,39.32,25.11,0,-25.11
54001,2022-10-21,15,32.99,20.04,0,-20.04
54011,2022-10-21,17,21.84,20.81,0,-20.81
54025,2022-10-21,18,11.39,17.16,0,-17.16
54035,2022-10-21,20,9.06,8.56,0,-8.56
54043,2022-10-21,21,9.04,8.37,0,-8.37
54051,2022-10-21,22,7.59,7.99,0,-7.99
54062,2022-10-21,23,7.9,7.72,0,-7.72
54070,2022-10-22,1,7.06,7.34,0,-7.34
54082,2022-10-22,3,7.15,6.75,0,-6.75
54101,2022-10-22,7,5.21,4.27,0,-4.27
54107,2022-10-22,8,5.12,0.2,2.3,2.1
54120,2022-10-22,9,27.17,0.02,7.43,7.41
54130,2022-10-22,11,13.29,0.22,9.32,9.1
54143,2022-10-22,15,12.02,4.69,0.87,-3.82
54153,2022-10-22,17,10.49,7.36,0,-7.36
54163,2022-10-22,18,7.08,10.04,0,-10.04
54171,2022-10-22,19,4.82,7.36,0,-7.36
54177,2022-10-22,20,6.66,6.89,0,-6.89
54189,2022-10-22,21,6.77,7.13,0,-7.13
54199,2022-10-22,22,6.45,6.79,0,-6.79
54206,2022-10-22,23,6.42,6.74,0,-6.74
54214,2022-10-23,1,6.94,6.68,0,-6.68
54234,2022-10-23,7,4.74,4.16,0.01,-4.15
54246,2022-10-23,8,15.68,0.69,0.94,0.25
54257,2022-10-23,9,38.46,0.03,4.55,4.52
54269,2022-10-23,12,29.32,0,13.2,13.2
54278,2022-10-23,14,31.31,0,10.6,10.6
54288,2022-10-23,15,20.16,0.01,9.4,9.39
54296,2022-10-23,16,9.85,1.39,1.84,0.45
54302,2022-10-23,17,9.56,6.97,0,-6.97
54316,2022-10-23,20,7.21,7.71,0,-7.71
54325,2022-10-23,21,6.87,7.59,0,-7.59
54343,2022-10-24,1,6.37,6.73,0,-6.73
54359,2022-10-24,6,5.48,5.73,0,-5.73
54374,2022-10-24,9,27.78,0,8.36,8.36
54397,2022-10-24,13,28.46,0,10.92,10.92
54406,2022-10-24,15,17.33,0.49,3.68,3.19
54416,2022-10-24,16,8.56,0.84,1.31,0.47
54422,2022-10-24,17,12.46,6.8,0,-6.8
54432,2022-10-24,19,8.5,9.23,0,-9.23
54451,2022-10-24,23,7.85,7.6,0,-7.6
54459,2022-10-25,1,7.42,8.11,0,-8.11
54479,2022-10-25,4,6.72,6.51,0,-6.51
54486,2022-10-25,5,6.79,6.52,0,-6.52
54499,2022-10-25,7,4.73,5.3,0,-5.3
54504,2022-10-25,8,13.94,2.88,0.12,-2.76
54517,2022-10-25,9,41.9,11.64,0,-11.64
54534,2022-10-25,13,49.18,35.19,0,-35.19
54545,2022-10-25,15,45.57,25.89,0,-25.89
54556,2022-10-25,17,23.51,27.03,0,-27.03
54569,2022-10-25,19,8.51,10.66,0,-10.66
54576,2022-10-25,20,8.68,8.48,0,-8.48
54586,2022-10-25,21,9.81,8.16,0,-8.16
54600,2022-10-25,23,6.7,6.66,0,-6.66
54610,2022-10-26,1,6.23,6.67,0,-6.67
54625,2022-10-26,5,6.72,6.56,0,-6.56
54634,2022-10-26,6,4.11,5.86,0,-5.86
54645,2022-10-26,7,7.21,5.3,0,-5.3
54651,2022-10-26,8,10.04,3.97,0.04,-3.93
54678,2022-10-26,16,40.88,30.96,0,-30.96
54686,2022-10-26,19,12.33,11.1,0,-11.1
54709,2022-10-27,1,7.56,7.47,0,-7.47
54724,2022-10-27,5,6.63,6.88,0,-6.88
54736,2022-10-27,6,4.55,6.34,0,-6.34
54743,2022-10-27,8,6.86,5.85,0,-5.85
54769,2022-10-27,19,9.03,16.55,0,-16.55
54775,2022-10-27,20,10.12,10.64,0,-10.64
54819,2022-10-28,7,4.81,5.61,0,-5.61
54827,2022-10-28,8,8.8,3.67,0.29,-3.38
54873,2022-10-29,9,17.96,0,3.77,3.77
54892,2022-10-29,16,10.94,2.38,0.28,-2.1
54945,2022-10-30,7,4.26,4.67,0,-4.67
54957,2022-10-30,11,37.2,0,15.84,15.84
54996,2022-10-31,1,6.74,6.91,0,-6.91
