,datetime,nat_demand,date,newdate,newtime,y,m,d
0,2015-01-03 01:00:00,970.345,2015-01-03 01:00:00,2015-01-03,01:00:00,2015,1,3
1,2015-01-03 02:00:00,912.1755,2015-01-03 02:00:00,2015-01-03,02:00:00,2015,1,3
2,2015-01-03 03:00:00,900.2688,2015-01-03 03:00:00,2015-01-03,03:00:00,2015,1,3
3,2015-01-03 04:00:00,889.9538,2015-01-03 04:00:00,2015-01-03,04:00:00,2015,1,3
4,2015-01-03 05:00:00,893.6865,2015-01-03 05:00:00,2015-01-03,05:00:00,2015,1,3
5,2015-01-03 06:00:00,879.2323,2015-01-03 06:00:00,2015-01-03,06:00:00,2015,1,3
6,2015-01-03 07:00:00,932.4876,2015-01-03 07:00:00,2015-01-03,07:00:00,2015,1,3
7,2015-01-03 08:00:00,1048.972,2015-01-03 08:00:00,2015-01-03,08:00:00,2015,1,3
8,2015-01-03 09:00:00,1167.9074,2015-01-03 09:00:00,2015-01-03,09:00:00,2015,1,3
9,2015-01-03 10:00:00,1257.5069,2015-01-03 10:00:00,2015-01-03,10:00:00,2015,1,3
10,2015-01-03 11:00:00,1254.583,2015-01-03 11:00:00,2015-01-03,11:00:00,2015,1,3
11,2015-01-03 12:00:00,1216.9004,2015-01-03 12:00:00,2015-01-03,12:00:00,2015,1,3
12,2015-01-03 13:00:00,1202.1556,2015-01-03 13:00:00,2015-01-03,13:00:00,2015,1,3
13,2015-01-03 14:00:00,1197.2616,2015-01-03 14:00:00,2015-01-03,14:00:00,2015,1,3
14,2015-01-03 15:00:00,1169.0034,2015-01-03 15:00:00,2015-01-03,15:00:00,2015,1,3
15,2015-01-03 16:00:00,1136.7054,2015-01-03 16:00:00,2015-01-03,16:00:00,2015,1,3
16,2015-01-03 17:00:00,1101.9447,2015-01-03 17:00:00,2015-01-03,17:00:00,2015,1,3
17,2015-01-03 18:00:00,1107.0406,2015-01-03 18:00:00,2015-01-03,18:00:00,2015,1,3
18,2015-01-03 19:00:00,1142.1548,2015-01-03 19:00:00,2015-01-03,19:00:00,2015,1,3
19,2015-01-03 20:00:00,1097.2334,2015-01-03 20:00:00,2015-01-03,20:00:00,2015,1,3
