date,hour,load_kW,demand(kWh),supply(kWh),Wind,Condition,humidity(%),temperature(°C),dew_point(°C),time_idx,group,wind_direction,weather_condition,hour_group,holiday,weekend,workday
2022-01-01,6,7.37,5.47,0.0,NW,Fair,83.0,20.0,17.22,0,a,11,0.0,0,0,0,0
2022-01-01,7,9.21,4.66,0.0,VAR,Fair,88.0,18.89,17.22,1,a,0,0.0,0,0,0,0
2022-01-01,8,5.67,2.72,0.13,VAR,Fair,65.0,23.89,17.22,2,a,0,0.0,0,0,0,0
2022-01-01,9,17.84,0.26,3.01,ENE,Fair,57.0,25.0,16.11,3,a,2,0.0,0,0,0,0
2022-01-01,10,28.99,0.0,9.71,E,Fair,48.0,27.22,15.0,4,a,12,0.0,0,0,0,0
2022-01-01,11,32.47,0.0,13.11,VAR,Fair,42.0,27.78,13.89,5,a,0,0.0,0,0,0,0
2022-01-01,12,37.32,0.0,14.64,SE,Fair,42.0,28.89,15.0,6,a,4,0.0,0,0,0,0
2022-01-01,13,32.76,0.0,14.17,SE,Fair,40.0,28.89,13.89,7,a,4,0.0,1,0,0,0
2022-01-01,14,29.32,0.03,12.73,W,Fair,35.0,31.11,13.89,8,a,7,0.0,1,0,0,0
2022-01-01,15,23.34,0.01,9.97,SSW,Fair,38.0,31.11,15.0,9,a,16,0.0,1,0,0,0
2022-01-01,16,10.63,0.02,4.82,W,Fair,38.0,31.11,15.0,10,a,7,0.0,1,0,0,0
2022-01-01,17,9.11,2.31,0.57,W,Fair,40.0,30.0,15.0,11,a,7,0.0,1,0,0,0
2022-01-01,18,0.0,5.56,0.0,W,Fair,51.0,27.78,17.22,12,a,7,0.0,1,0,0,0
2022-01-01,19,4.02,7.15,0.0,W,Fair,54.0,27.22,17.22,13,a,7,0.0,1,0,0,0
2022-01-01,20,7.08,6.73,0.0,VAR,Fair,65.0,25.0,17.78,14,a,0,0.0,1,0,0,0
2022-02-01,6,5.85,5.34,0.0,VAR,Fair,78.0,20.0,16.11,15,a,0,0.0,0,1,1,1
2022-02-01,7,6.55,4.41,0.0,VAR,Fair,83.0,18.89,16.11,16,a,0,0.0,0,1,1,1
2022-02-01,8,7.27,2.71,0.18,VAR,Fair,69.0,22.22,16.11,17,a,0,0.0,0,1,1,1
