,level_0,id,name,new_date,hour,demand_kWh,supply_kWh,Wind,Condition,temperature(°F),dew_point(°F),humidity(%),wind_speed(°mph),wind_gust(°mph),pressure(°in),precip(°in)
0,0,43,NDIR-SERT,2021-12-01,7,4.29,0.0,VAR,Fair,75,57,53,2,0,29.81,0.0
1,1,50,NDIR-SERT,2021-12-01,8,2.84,0.06,VAR,Fair,75,57,53,3,0,29.84,0.0
2,2,56,NDIR-SERT,2021-12-01,9,7.44,0.01,VAR,Fair,79,57,47,2,0,29.87,0.0
3,3,66,NDIR-SERT,2021-12-01,11,7.45,0.0,VAR,Fair,82,54,37,3,0,29.84,0.0
4,4,70,NDIR-SERT,2021-12-01,12,11.24,0.0,VAR,Fair,84,54,35,3,0,29.81,0.0
5,5,78,NDIR-SERT,2021-12-01,13,13.85,0.0,VAR,Fair,86,54,33,2,0,29.78,0.0
6,6,87,NDIR-SERT,2021-12-01,14,18.51,0.0,ESE,Fair,86,54,33,5,0,29.73,0.0
7,7,91,NDIR-SERT,2021-12-01,15,11.05,0.0,ESE,Fair,88,55,33,5,0,29.73,0.0
8,8,99,NDIR-SERT,2021-12-01,16,21.28,0.0,VAR,Fair,88,55,33,2,0,29.70,0.0
9,9,106,NDIR-SERT,2021-12-01,17,30.91,0.0,VAR,Fair,86,54,33,2,0,29.73,0.0
10,10,117,NDIR-SERT,2021-12-01,18,11.33,0.0,ESE,Fair,81,59,48,1,0,29.73,0.0
11,11,120,NDIR-SERT,2021-12-01,19,10.14,0.0,VAR,Fair,77,61,57,1,0,29.75,0.0
12,12,126,NDIR-SERT,2021-12-08,5,3.78,0.0,,,,,,,,,
13,13,135,NDIR-SERT,2021-12-08,6,5.33,0.0,VAR,Fair,63,55,77,1,0,29.84,0.0
14,14,142,NDIR-SERT,2021-12-08,7,4.41,0.0,VAR,Fair,63,57,82,1,0,29.87,0.0
15,15,149,NDIR-SERT,2021-12-08,8,2.72,0.2,VAR,Fair,70,55,60,2,0,29.90,0.0
16,16,158,NDIR-SERT,2021-12-08,9,1.99,1.03,ENE,Fair,73,55,53,3,0,29.90,0.0
17,17,165,NDIR-SERT,2021-12-08,10,2.54,1.85,NE,Fair,77,54,44,3,0,29.90,0.0
18,18,174,NDIR-SERT,2021-12-08,11,4.5,4.41,SE,Fair,81,46,30,3,0,29.90,0.0
19,19,184,NDIR-SERT,2021-12-08,12,4.9,4.88,WNW,Fair,82,50,32,3,0,29.87,0.0
20,20,193,NDIR-SERT,2021-12-08,13,4.64,4.26,WSW,Fair,82,52,35,3,0,29.84,0.0
21,21,202,NDIR-SERT,2021-12-08,14,2.83,1.02,W,Fair,82,50,32,5,0,29.81,0.0
22,22,211,NDIR-SERT,2021-12-08,15,5.38,0.19,WSW,Fair,84,54,35,5,0,29.78,0.0
23,23,219,NDIR-SERT,2021-12-08,16,9.07,0.0,W,Fair,82,54,37,5,0,29.75,0.0
24,24,228,NDIR-SERT,2021-12-08,17,11.39,0.0,W,Fair,82,54,37,5,0,29.78,0.0
25,25,239,NDIR-SERT,2021-12-08,18,9.08,0.0,W,Fair,79,55,44,5,0,29.78,0.0
26,26,248,NDIR-SERT,2021-12-08,19,8.1,0.0,NNW,Fair,73,59,61,1,0,29.81,0.0
27,27,255,NDIR-SERT,2021-12-08,20,6.38,0.0,CALM,Fair,72,61,69,0,0,29.81,0.0
28,28,267,NDIR-SERT,2021-12-08,21,5.63,0.0,,,,,,,,,
29,29,275,NDIR-SERT,2021-12-08,22,5.39,0.0,,,,,,,,,
30,30,285,NDIR-SERT,2021-12-08,23,5.32,0.0,,,,,,,,,
31,31,300,NDIR-SERT,2021-12-09,1,5.18,0.0,,,,,,,,,
32,32,310,NDIR-SERT,2021-12-09,2,5.09,0.0,,,,,,,,,
33,33,320,NDIR-SERT,2021-12-09,3,5.16,0.0,,,,,,,,,
34,34,329,NDIR-SERT,2021-12-09,4,4.91,0.0,,,,,,,,,
35,35,339,NDIR-SERT,2021-12-09,5,4.95,0.0,,,,,,,,,
36,36,345,NDIR-SERT,2021-12-09,6,5.07,0.0,N,Fair,66,61,83,2,0,29.87,0.0
37,37,355,NDIR-SERT,2021-12-09,7,4.5,0.0,VAR,Fair,66,61,83,2,0,29.87,0.0
38,38,367,NDIR-SERT,2021-12-09,8,3.61,0.0,VAR,Fair,70,63,78,2,0,29.90,0.0
39,39,372,NDIR-SERT,2021-12-09,9,2.43,0.73,NNW,Fair,73,61,65,3,0,29.93,0.0
40,40,382,NDIR-SERT,2021-12-09,10,4.54,0.91,N,Fair,77,61,57,3,0,29.93,0.0
41,41,394,NDIR-SERT,2021-12-09,11,4.71,0.86,NW,Fair,81,61,51,6,0,29.90,0.0
42,42,401,NDIR-SERT,2021-12-09,12,8.78,0.28,NW,Fair,84,61,45,6,0,29.87,0.0
43,43,408,NDIR-SERT,2021-12-09,13,5.63,0.72,WNW,Fair,84,63,48,8,0,29.84,0.0
44,44,419,NDIR-SERT,2021-12-09,14,5.91,0.27,NW,Fair,88,61,40,5,0,29.78,0.0
45,45,427,NDIR-SERT,2021-12-09,15,15.14,0.0,W,Fair,88,63,43,7,0,29.78,0.0
46,46,437,NDIR-SERT,2021-12-09,16,22.61,0.0,WSW,Fair,88,63,43,5,0,29.78,0.0
47,47,444,NDIR-SERT,2021-12-09,17,23.09,0.0,W,Fair,84,64,51,5,0,29.78,0.0
48,48,454,NDIR-SERT,2021-12-09,18,14.22,0.0,W,Fair,81,64,58,3,0,29.81,0.0
49,49,462,NDIR-SERT,2021-12-09,19,10.03,0.0,NW,Fair,79,66,65,3,0,29.81,0.0
50,50,471,NDIR-SERT,2021-12-09,20,8.87,0.0,CALM,Fair,75,66,73,0,0,29.84,0.0
51,51,481,NDIR-SERT,2021-12-09,21,7.99,0.0,,,,,,,,,
52,52,491,NDIR-SERT,2021-12-09,22,7.88,0.0,,,,,,,,,
53,53,501,NDIR-SERT,2021-12-09,23,7.39,0.0,,,,,,,,,
54,54,516,NDIR-SERT,2021-12-10,1,6.44,0.0,,,,,,,,,
55,55,526,NDIR-SERT,2021-12-10,2,6.53,0.0,,,,,,,,,
56,56,536,NDIR-SERT,2021-12-10,3,6.35,0.0,,,,,,,,,
57,57,547,NDIR-SERT,2021-12-10,4,6.14,0.0,,,,,,,,,
58,58,553,NDIR-SERT,2021-12-10,5,6.34,0.0,,,,,,,,,
59,59,562,NDIR-SERT,2021-12-10,6,6.03,0.0,CALM,Fair,70,66,88,0,0,29.84,0.0
60,60,572,NDIR-SERT,2021-12-10,7,5.72,0.0,VAR,Fair,72,66,83,2,0,29.84,0.0
61,61,581,NDIR-SERT,2021-12-10,8,2.39,0.11,VAR,Fair,75,66,73,2,0,29.87,0.0
62,62,588,NDIR-SERT,2021-12-10,9,3.18,2.85,VAR,Fair,81,66,61,2,0,29.90,0.0
63,63,597,NDIR-SERT,2021-12-10,10,8.73,8.73,VAR,Fair,82,63,51,2,0,29.87,0.0
64,64,608,NDIR-SERT,2021-12-10,11,7.29,7.29,VAR,Fair,86,63,45,3,0,29.84,0.0
65,65,615,NDIR-SERT,2021-12-10,12,10.44,10.44,VAR,Fair,86,63,45,5,0,29.81,0.0
66,66,626,NDIR-SERT,2021-12-10,13,9.76,9.76,VAR,Fair,88,63,43,3,0,29.78,0.0
67,67,635,NDIR-SERT,2021-12-10,14,6.89,4.67,VAR,Fair,88,63,43,5,0,29.75,0.0
68,68,644,NDIR-SERT,2021-12-10,15,2.4,1.27,NW,Fair,88,64,46,7,0,29.73,0.0
69,69,653,NDIR-SERT,2021-12-10,16,5.0,0.15,W,Fair,88,63,43,7,0,29.73,0.0
70,70,661,NDIR-SERT,2021-12-10,17,10.11,0.0,W,Fair,86,63,45,5,0,29.73,0.0
71,71,672,NDIR-SERT,2021-12-10,18,13.33,0.0,W,Fair,82,64,54,3,0,29.73,0.0
72,72,680,NDIR-SERT,2021-12-10,19,13.75,0.0,CALM,Fair,79,66,65,0,0,29.75,0.0
73,73,687,NDIR-SERT,2021-12-10,20,13.27,0.0,CALM,Fair,77,66,69,0,0,29.78,0.0
74,74,696,NDIR-SERT,2021-12-10,21,10.42,0.0,,,,,,,,,
75,75,705,NDIR-SERT,2021-12-10,22,10.41,0.0,,,,,,,,,
