id,name,building_name,new_date,new_datetime,hour,load_kW,pv_kW,demand_kWh,supply_kWh,monthnew,yearnew,net_kWh,status
68882,h1,NDIR-SERT,2023-01-01,2023-01-01 01:03:29,1,5.75,0.01,5.52,0,1,2023,-5.52,D
68892,h1,NDIR-SERT,2023-01-01,2023-01-01 02:03:30,2,4.16,0.01,5.42,0,1,2023,-5.42,D
68901,h1,NDIR-SERT,2023-01-01,2023-01-01 03:03:13,3,6.39,0.01,5.61,0,1,2023,-5.61,D
68909,h1,NDIR-SERT,2023-01-01,2023-01-01 04:03:32,4,4.66,0.01,5.43,0,1,2023,-5.43,D
68919,h1,NDIR-SERT,2023-01-01,2023-01-01 05:03:14,5,5.61,0.01,5.36,0,1,2023,-5.36,D
68928,h1,NDIR-SERT,2023-01-01,2023-01-01 06:03:12,6,4.05,0.01,5.22,0,1,2023,-5.22,D
68936,h1,NDIR-SERT,2023-01-01,2023-01-01 07:03:15,7,4.07,0.38,4.6,0,1,2023,-4.6,D
68946,h1,NDIR-SERT,2023-01-01,2023-01-01 08:03:13,8,9.36,6.79,1.64,0.36,1,2023,-1.28,D
68954,h1,NDIR-SERT,2023-01-01,2023-01-01 09:03:15,9,20.75,13.22,0,4.76,1,2023,4.76,S
68963,h1,NDIR-SERT,2023-01-01,2023-01-01 10:03:16,10,31.69,18.47,0,9.75,1,2023,9.75,S
68974,h1,NDIR-SERT,2023-01-01,2023-01-01 11:03:14,11,34.33,19.92,0,13,1,2023,13,S
68981,h1,NDIR-SERT,2023-01-01,2023-01-01 12:03:30,12,35.24,20.31,0,14.74,1,2023,14.74,S
68990,h1,NDIR-SERT,2023-01-01,2023-01-01 13:03:40,13,34.15,20.01,0,14.15,1,2023,14.15,S
68999,h1,NDIR-SERT,2023-01-01,2023-01-01 14:03:27,14,31.11,18.51,0,13.47,1,2023,13.47,S
69006,h1,NDIR-SERT,2023-01-01,2023-01-01 15:02:55,15,22.27,13.75,0,10.57,1,2023,10.57,S
69015,h1,NDIR-SERT,2023-01-01,2023-01-01 16:03:00,16,7.25,7.17,0,4.56,1,2023,4.56,S
69024,h1,NDIR-SERT,2023-01-01,2023-01-01 17:03:14,17,5.84,1.55,1.92,0.19,1,2023,-1.73,D
69033,h1,NDIR-SERT,2023-01-01,2023-01-01 18:03:42,18,6.45,0.01,5.2,0,1,2023,-5.2,D
69042,h1,NDIR-SERT,2023-01-01,2023-01-01 19:03:18,19,4.07,0.01,5.8,0,1,2023,-5.8,D
69051,h1,NDIR-SERT,2023-01-01,2023-01-01 20:03:15,20,7.27,0.01,5.34,0,1,2023,-5.34,D
69060,h1,NDIR-SERT,2023-01-01,2023-01-01 21:03:14,21,5.52,0.01,5.32,0,1,2023,-5.32,D
69069,h1,NDIR-SERT,2023-01-01,2023-01-01 22:03:22,22,5.71,0.01,5.2,0,1,2023,-5.2,D
69078,h1,NDIR-SERT,2023-01-01,2023-01-01 23:03:15,23,6.09,0.01,5.44,0,1,2023,-5.44,D
69087,h1,NDIR-SERT,2023-01-02,2023-01-02 01:03:32,1,5.82,0.01,5.3,0,1,2023,-5.3,D
69096,h1,NDIR-SERT,2023-01-02,2023-01-02 02:03:24,2,5.64,0.01,5.48,0,1,2023,-5.48,D
69108,h1,NDIR-SERT,2023-01-02,2023-01-02 04:03:56,4,5.94,0.01,5.38,0,1,2023,-5.38,D
69117,h1,NDIR-SERT,2023-01-02,2023-01-02 05:02:56,5,5.91,0.01,5.29,0,1,2023,-5.29,D
69126,h1,NDIR-SERT,2023-01-02,2023-01-02 06:03:13,6,4.92,0.01,5.27,0,1,2023,-5.27,D
69133,h1,NDIR-SERT,2023-01-02,2023-01-02 07:03:24,7,4.4,0.13,4.53,0,1,2023,-4.53,D
69144,h1,NDIR-SERT,2023-01-02,2023-01-02 08:03:12,8,7.09,6.34,2.08,0.24,1,2023,-1.84,D
69151,h1,NDIR-SERT,2023-01-02,2023-01-02 09:03:15,9,16.2,11.89,0,4.81,1,2023,4.81,S
