,Unnamed: 0,level_0,id,name,new_date,hour,demand_kWh,supply_kWh,Wind,Condition,temperature(°F),dew_point(°F),humidity(%),wind_speed(°mph),wind_gust(°mph),pressure(°in),precip(°in),temperature(°C),dew_point(°C)
0,0,0,43,NDIR-SERT,2021-12-01,7,4.29,0.0,VAR,Fair,75.0,57.0,53.0,2.0,0.0,29.81,0.0,23.89,13.89
1,1,1,50,NDIR-SERT,2021-12-01,8,2.84,0.06,VAR,Fair,75.0,57.0,53.0,3.0,0.0,29.84,0.0,23.89,13.89
2,2,2,56,NDIR-SERT,2021-12-01,9,7.44,0.01,VAR,Fair,79.0,57.0,47.0,2.0,0.0,29.87,0.0,26.11,13.89
3,3,3,66,NDIR-SERT,2021-12-01,11,7.45,0.0,VAR,Fair,82.0,54.0,37.0,3.0,0.0,29.84,0.0,27.78,12.22
4,4,4,70,NDIR-SERT,2021-12-01,12,11.24,0.0,VAR,Fair,84.0,54.0,35.0,3.0,0.0,29.81,0.0,28.89,12.22
5,5,5,78,NDIR-SERT,2021-12-01,13,13.85,0.0,VAR,Fair,86.0,54.0,33.0,2.0,0.0,29.78,0.0,30.0,12.22
6,6,6,87,NDIR-SERT,2021-12-01,14,18.51,0.0,ESE,Fair,86.0,54.0,33.0,5.0,0.0,29.73,0.0,30.0,12.22
7,7,7,91,NDIR-SERT,2021-12-01,15,11.05,0.0,ESE,Fair,88.0,55.0,33.0,5.0,0.0,29.73,0.0,31.11,12.78
8,8,8,99,NDIR-SERT,2021-12-01,16,21.28,0.0,VAR,Fair,88.0,55.0,33.0,2.0,0.0,29.7,0.0,31.11,12.78
9,9,9,106,NDIR-SERT,2021-12-01,17,30.91,0.0,VAR,Fair,86.0,54.0,33.0,2.0,0.0,29.73,0.0,30.0,12.22
10,10,10,117,NDIR-SERT,2021-12-01,18,11.33,0.0,ESE,Fair,81.0,59.0,48.0,1.0,0.0,29.73,0.0,27.22,15.0
11,11,11,120,NDIR-SERT,2021-12-01,19,10.14,0.0,VAR,Fair,77.0,61.0,57.0,1.0,0.0,29.75,0.0,25.0,16.11
13,13,13,135,NDIR-SERT,2021-12-08,6,5.33,0.0,VAR,Fair,63.0,55.0,77.0,1.0,0.0,29.84,0.0,17.22,12.78
14,14,14,142,NDIR-SERT,2021-12-08,7,4.41,0.0,VAR,Fair,63.0,57.0,82.0,1.0,0.0,29.87,0.0,17.22,13.89
15,15,15,149,NDIR-SERT,2021-12-08,8,2.72,0.2,VAR,Fair,70.0,55.0,60.0,2.0,0.0,29.9,0.0,21.11,12.78
16,16,16,158,NDIR-SERT,2021-12-08,9,1.99,1.03,ENE,Fair,73.0,55.0,53.0,3.0,0.0,29.9,0.0,22.78,12.78
17,17,17,165,NDIR-SERT,2021-12-08,10,2.54,1.85,NE,Fair,77.0,54.0,44.0,3.0,0.0,29.9,0.0,25.0,12.22
18,18,18,174,NDIR-SERT,2021-12-08,11,4.5,4.41,SE,Fair,81.0,46.0,30.0,3.0,0.0,29.9,0.0,27.22,7.78
19,19,19,184,NDIR-SERT,2021-12-08,12,4.9,4.88,WNW,Fair,82.0,50.0,32.0,3.0,0.0,29.87,0.0,27.78,10.0
20,20,20,193,NDIR-SERT,2021-12-08,13,4.64,4.26,WSW,Fair,82.0,52.0,35.0,3.0,0.0,29.84,0.0,27.78,11.11
21,21,21,202,NDIR-SERT,2021-12-08,14,2.83,1.02,W,Fair,82.0,50.0,32.0,5.0,0.0,29.81,0.0,27.78,10.0
22,22,22,211,NDIR-SERT,2021-12-08,15,5.38,0.19,WSW,Fair,84.0,54.0,35.0,5.0,0.0,29.78,0.0,28.89,12.22
23,23,23,219,NDIR-SERT,2021-12-08,16,9.07,0.0,W,Fair,82.0,54.0,37.0,5.0,0.0,29.75,0.0,27.78,12.22
24,24,24,228,NDIR-SERT,2021-12-08,17,11.39,0.0,W,Fair,82.0,54.0,37.0,5.0,0.0,29.78,0.0,27.78,12.22
25,25,25,239,NDIR-SERT,2021-12-08,18,9.08,0.0,W,Fair,79.0,55.0,44.0,5.0,0.0,29.78,0.0,26.11,12.78
26,26,26,248,NDIR-SERT,2021-12-08,19,8.1,0.0,NNW,Fair,73.0,59.0,61.0,1.0,0.0,29.81,0.0,22.78,15.0
27,27,27,255,NDIR-SERT,2021-12-08,20,6.38,0.0,CALM,Fair,72.0,61.0,69.0,0.0,0.0,29.81,0.0,22.22,16.11
36,36,36,345,NDIR-SERT,2021-12-09,6,5.07,0.0,N,Fair,66.0,61.0,83.0,2.0,0.0,29.87,0.0,18.89,16.11
37,37,37,355,NDIR-SERT,2021-12-09,7,4.5,0.0,VAR,Fair,66.0,61.0,83.0,2.0,0.0,29.87,0.0,18.89,16.11
38,38,38,367,NDIR-SERT,2021-12-09,8,3.61,0.0,VAR,Fair,70.0,63.0,78.0,2.0,0.0,29.9,0.0,21.11,17.22
39,39,39,372,NDIR-SERT,2021-12-09,9,2.43,0.73,NNW,Fair,73.0,61.0,65.0,3.0,0.0,29.93,0.0,22.78,16.11
40,40,40,382,NDIR-SERT,2021-12-09,10,4.54,0.91,N,Fair,77.0,61.0,57.0,3.0,0.0,29.93,0.0,25.0,16.11
41,41,41,394,NDIR-SERT,2021-12-09,11,4.71,0.86,NW,Fair,81.0,61.0,51.0,6.0,0.0,29.9,0.0,27.22,16.11
42,42,42,401,NDIR-SERT,2021-12-09,12,8.78,0.28,NW,Fair,84.0,61.0,45.0,6.0,0.0,29.87,0.0,28.89,16.11
43,43,43,408,NDIR-SERT,2021-12-09,13,5.63,0.72,WNW,Fair,84.0,63.0,48.0,8.0,0.0,29.84,0.0,28.89,17.22
44,44,44,419,NDIR-SERT,2021-12-09,14,5.91,0.27,NW,Fair,88.0,61.0,40.0,5.0,0.0,29.78,0.0,31.11,16.11
45,45,45,427,NDIR-SERT,2021-12-09,15,15.14,0.0,W,Fair,88.0,63.0,43.0,7.0,0.0,29.78,0.0,31.11,17.22
46,46,46,437,NDIR-SERT,2021-12-09,16,22.61,0.0,WSW,Fair,88.0,63.0,43.0,5.0,0.0,29.78,0.0,31.11,17.22
47,47,47,444,NDIR-SERT,2021-12-09,17,23.09,0.0,W,Fair,84.0,64.0,51.0,5.0,0.0,29.78,0.0,28.89,17.78
48,48,48,454,NDIR-SERT,2021-12-09,18,14.22,0.0,W,Fair,81.0,64.0,58.0,3.0,0.0,29.81,0.0,27.22,17.78
49,49,49,462,NDIR-SERT,2021-12-09,19,10.03,0.0,NW,Fair,79.0,66.0,65.0,3.0,0.0,29.81,0.0,26.11,18.89
50,50,50,471,NDIR-SERT,2021-12-09,20,8.87,0.0,CALM,Fair,75.0,66.0,73.0,0.0,0.0,29.84,0.0,23.89,18.89
59,59,59,562,NDIR-SERT,2021-12-10,6,6.03,0.0,CALM,Fair,70.0,66.0,88.0,0.0,0.0,29.84,0.0,21.11,18.89
60,60,60,572,NDIR-SERT,2021-12-10,7,5.72,0.0,VAR,Fair,72.0,66.0,83.0,2.0,0.0,29.84,0.0,22.22,18.89
61,61,61,581,NDIR-SERT,2021-12-10,8,2.39,0.11,VAR,Fair,75.0,66.0,73.0,2.0,0.0,29.87,0.0,23.89,18.89
62,62,62,588,NDIR-SERT,2021-12-10,9,3.18,2.85,VAR,Fair,81.0,66.0,61.0,2.0,0.0,29.9,0.0,27.22,18.89
63,63,63,597,NDIR-SERT,2021-12-10,10,8.73,8.73,VAR,Fair,82.0,63.0,51.0,2.0,0.0,29.87,0.0,27.78,17.22
64,64,64,608,NDIR-SERT,2021-12-10,11,7.29,7.29,VAR,Fair,86.0,63.0,45.0,3.0,0.0,29.84,0.0,30.0,17.22
65,65,65,615,NDIR-SERT,2021-12-10,12,10.44,10.44,VAR,Fair,86.0,63.0,45.0,5.0,0.0,29.81,0.0,30.0,17.22
66,66,66,626,NDIR-SERT,2021-12-10,13,9.76,9.76,VAR,Fair,88.0,63.0,43.0,3.0,0.0,29.78,0.0,31.11,17.22
67,67,67,635,NDIR-SERT,2021-12-10,14,6.89,4.67,VAR,Fair,88.0,63.0,43.0,5.0,0.0,29.75,0.0,31.11,17.22
68,68,68,644,NDIR-SERT,2021-12-10,15,2.4,1.27,NW,Fair,88.0,64.0,46.0,7.0,0.0,29.73,0.0,31.11,17.78
69,69,69,653,NDIR-SERT,2021-12-10,16,5.0,0.15,W,Fair,88.0,63.0,43.0,7.0,0.0,29.73,0.0,31.11,17.22
70,70,70,661,NDIR-SERT,2021-12-10,17,10.11,0.0,W,Fair,86.0,63.0,45.0,5.0,0.0,29.73,0.0,30.0,17.22
71,71,71,672,NDIR-SERT,2021-12-10,18,13.33,0.0,W,Fair,82.0,64.0,54.0,3.0,0.0,29.73,0.0,27.78,17.78
72,72,72,680,NDIR-SERT,2021-12-10,19,13.75,0.0,CALM,Fair,79.0,66.0,65.0,0.0,0.0,29.75,0.0,26.11,18.89
73,73,73,687,NDIR-SERT,2021-12-10,20,13.27,0.0,CALM,Fair,77.0,66.0,69.0,0.0,0.0,29.78,0.0,25.0,18.89
82,82,82,778,NDIR-SERT,2021-12-11,6,6.08,0.0,E,Fair,68.0,66.0,94.0,5.0,0.0,29.81,0.0,20.0,18.89
83,83,83,787,NDIR-SERT,2021-12-11,7,5.29,0.0,CALM,Fair,70.0,66.0,88.0,0.0,0.0,29.81,0.0,21.11,18.89
84,84,84,798,NDIR-SERT,2021-12-11,8,2.67,0.15,CALM,Fair,75.0,66.0,73.0,0.0,0.0,29.84,0.0,23.89,18.89
85,85,85,807,NDIR-SERT,2021-12-11,9,3.02,2.71,VAR,Fair,79.0,66.0,65.0,1.0,0.0,29.87,0.0,26.11,18.89
86,86,86,813,NDIR-SERT,2021-12-11,10,7.8,7.8,VAR,Fair,82.0,64.0,54.0,2.0,0.0,29.87,0.0,27.78,17.78
87,87,87,822,NDIR-SERT,2021-12-11,11,6.32,6.09,VAR,Fair,84.0,66.0,55.0,2.0,0.0,29.87,0.0,28.89,18.89
88,88,88,831,NDIR-SERT,2021-12-11,12,7.89,5.61,NW,Fair,86.0,66.0,51.0,3.0,0.0,29.81,0.0,30.0,18.89
89,89,89,841,NDIR-SERT,2021-12-11,13,9.27,7.35,W,Fair,88.0,66.0,49.0,7.0,0.0,29.78,0.0,31.11,18.89
90,90,90,849,NDIR-SERT,2021-12-11,14,6.94,1.97,W,Fair,88.0,66.0,49.0,5.0,0.0,29.75,0.0,31.11,18.89
91,91,91,858,NDIR-SERT,2021-12-11,15,6.11,0.05,W,Fair,88.0,64.0,46.0,3.0,0.0,29.73,0.0,31.11,17.78
92,92,92,867,NDIR-SERT,2021-12-11,16,11.24,0.0,W,Fair,90.0,64.0,43.0,6.0,0.0,29.73,0.0,32.22,17.78
93,93,93,877,NDIR-SERT,2021-12-11,17,12.38,0.0,W,Fair,86.0,64.0,48.0,5.0,0.0,29.73,0.0,30.0,17.78
94,94,94,886,NDIR-SERT,2021-12-11,18,9.52,0.0,NW,Fair,82.0,66.0,58.0,2.0,0.0,29.75,0.0,27.78,18.89
95,95,95,896,NDIR-SERT,2021-12-11,19,12.19,0.0,SE,Fair,81.0,68.0,65.0,1.0,0.0,29.78,0.0,27.22,20.0
96,96,96,903,NDIR-SERT,2021-12-11,20,10.41,0.0,VAR,Fair,81.0,70.0,70.0,2.0,0.0,29.81,0.0,27.22,21.11
105,105,105,993,NDIR-SERT,2021-12-12,6,6.48,0.0,VAR,Fair,66.0,64.0,94.0,1.0,0.0,29.81,0.0,18.89,17.78
106,106,106,1004,NDIR-SERT,2021-12-12,7,5.62,0.0,VAR,Fair,68.0,64.0,88.0,2.0,0.0,29.84,0.0,20.0,17.78
107,107,107,1012,NDIR-SERT,2021-12-12,8,2.91,0.17,E,Fair,73.0,64.0,73.0,3.0,0.0,29.87,0.0,22.78,17.78
108,108,108,1020,NDIR-SERT,2021-12-12,9,3.98,3.76,VAR,Fair,79.0,63.0,57.0,5.0,0.0,29.9,0.0,26.11,17.22
109,109,109,1029,NDIR-SERT,2021-12-12,10,9.71,9.71,E,Fair,81.0,59.0,48.0,6.0,0.0,29.9,0.0,27.22,15.0
110,110,110,1041,NDIR-SERT,2021-12-12,11,13.03,13.02,E,Fair,84.0,57.0,40.0,6.0,0.0,29.87,0.0,28.89,13.89
111,111,111,1047,NDIR-SERT,2021-12-12,12,13.9,13.9,E,Fair,84.0,57.0,40.0,5.0,0.0,29.84,0.0,28.89,13.89
112,112,112,1056,NDIR-SERT,2021-12-12,13,13.02,13.0,VAR,Fair,86.0,57.0,37.0,5.0,0.0,29.81,0.0,30.0,13.89
113,113,113,1067,NDIR-SERT,2021-12-12,14,10.76,10.75,VAR,Fair,86.0,57.0,37.0,3.0,0.0,29.75,0.0,30.0,13.89
114,114,114,1077,NDIR-SERT,2021-12-12,15,6.53,6.37,SSE,Fair,88.0,57.0,35.0,5.0,0.0,29.73,0.0,31.11,13.89
115,115,115,1084,NDIR-SERT,2021-12-12,16,3.74,1.13,VAR,Fair,88.0,57.0,35.0,2.0,0.0,29.73,0.0,31.11,13.89
116,116,116,1092,NDIR-SERT,2021-12-12,17,9.46,0.0,VAR,Fair,88.0,57.0,35.0,2.0,0.0,29.73,0.0,31.11,13.89
117,117,117,1103,NDIR-SERT,2021-12-12,18,8.9,0.0,NW,Fair,81.0,63.0,54.0,1.0,0.0,29.75,0.0,27.22,17.22
118,118,118,1110,NDIR-SERT,2021-12-12,19,10.21,0.0,VAR,Fair,77.0,63.0,61.0,2.0,0.0,29.78,0.0,25.0,17.22
119,119,119,1123,NDIR-SERT,2021-12-13,15,4.62,0.0,SW,Fair,86.0,57.0,37.0,5.0,0.0,29.73,0.0,30.0,13.89
120,120,120,1132,NDIR-SERT,2021-12-13,16,21.47,0.0,VAR,Fair,88.0,57.0,35.0,2.0,0.0,29.73,0.0,31.11,13.89
121,121,121,1137,NDIR-SERT,2021-12-13,17,22.12,0.0,W,Fair,84.0,61.0,45.0,6.0,0.0,29.73,0.0,28.89,16.11
122,122,122,1148,NDIR-SERT,2021-12-13,18,16.01,0.0,W,Fair,81.0,63.0,54.0,3.0,0.0,29.73,0.0,27.22,17.22
123,123,123,1160,NDIR-SERT,2021-12-13,19,12.22,0.0,NW,Fair,77.0,64.0,65.0,2.0,0.0,29.75,0.0,25.0,17.78
124,124,124,1168,NDIR-SERT,2021-12-13,20,10.3,0.0,CALM,Fair,75.0,64.0,69.0,0.0,0.0,29.78,0.0,23.89,17.78
131,131,131,1241,NDIR-SERT,2021-12-14,6,4.98,0.0,VAR,Fair,70.0,59.0,68.0,2.0,0.0,29.78,0.0,21.11,15.0
132,132,132,1247,NDIR-SERT,2021-12-14,7,3.79,0.0,VAR,Fair,66.0,61.0,83.0,2.0,0.0,29.81,0.0,18.89,16.11
133,133,133,1259,NDIR-SERT,2021-12-14,8,3.03,0.07,VAR,Fair,72.0,63.0,73.0,1.0,0.0,29.81,0.0,22.22,17.22
