level_0,id,name,new_date,hour,demand_kWh,supply_kWh,Wind,Condition,temperature(°F),dew_point(°F),humidity(%),wind_speed(°mph),wind_gust(°mph),pressure(°in),precip(°in),temperature(°C),dew_point(°C)
0,43,NDIR-SERT,1/12/2021,7,4.29,0,VAR,Fair,75,57,53,2,0,29.81,0,23.89,13.89
1,50,NDIR-SERT,1/12/2021,8,2.84,0.06,VAR,Fair,75,57,53,3,0,29.84,0,23.89,13.89
2,56,NDIR-SERT,1/12/2021,9,7.44,0.01,VAR,Fair,79,57,47,2,0,29.87,0,26.11,13.89
3,66,NDIR-SERT,1/12/2021,11,7.45,0,VAR,Fair,82,54,37,3,0,29.84,0,27.78,12.22
4,70,NDIR-SERT,1/12/2021,12,11.24,0,VAR,Fair,84,54,35,3,0,29.81,0,28.89,12.22
5,78,NDIR-SERT,1/12/2021,13,13.85,0,VAR,Fair,86,54,33,2,0,29.78,0,30,12.22
6,87,NDIR-SERT,1/12/2021,14,18.51,0,ESE,Fair,86,54,33,5,0,29.73,0,30,12.22
7,91,NDIR-SERT,1/12/2021,15,11.05,0,ESE,Fair,88,55,33,5,0,29.73,0,31.11,12.78
8,99,NDIR-SERT,1/12/2021,16,21.28,0,VAR,Fair,88,55,33,2,0,29.7,0,31.11,12.78
9,106,NDIR-SERT,1/12/2021,17,30.91,0,VAR,Fair,86,54,33,2,0,29.73,0,30,12.22
10,117,NDIR-SERT,1/12/2021,18,11.33,0,ESE,Fair,81,59,48,1,0,29.73,0,27.22,15
11,120,NDIR-SERT,1/12/2021,19,10.14,0,VAR,Fair,77,61,57,1,0,29.75,0,25,16.11
13,135,NDIR-SERT,8/12/2021,6,5.33,0,VAR,Fair,63,55,77,1,0,29.84,0,17.22,12.78
14,142,NDIR-SERT,8/12/2021,7,4.41,0,VAR,Fair,63,57,82,1,0,29.87,0,17.22,13.89
15,149,NDIR-SERT,8/12/2021,8,2.72,0.2,VAR,Fair,70,55,60,2,0,29.9,0,21.11,12.78
16,158,NDIR-SERT,8/12/2021,9,1.99,1.03,ENE,Fair,73,55,53,3,0,29.9,0,22.78,12.78
17,165,NDIR-SERT,8/12/2021,10,2.54,1.85,NE,Fair,77,54,44,3,0,29.9,0,25,12.22
18,174,NDIR-SERT,8/12/2021,11,4.5,4.41,SE,Fair,81,46,30,3,0,29.9,0,27.22,7.78
19,184,NDIR-SERT,8/12/2021,12,4.9,4.88,WNW,Fair,82,50,32,3,0,29.87,0,27.78,10
20,193,NDIR-SERT,8/12/2021,13,4.64,4.26,WSW,Fair,82,52,35,3,0,29.84,0,27.78,11.11
21,202,NDIR-SERT,8/12/2021,14,2.83,1.02,W,Fair,82,50,32,5,0,29.81,0,27.78,10
22,211,NDIR-SERT,8/12/2021,15,5.38,0.19,WSW,Fair,84,54,35,5,0,29.78,0,28.89,12.22
23,219,NDIR-SERT,8/12/2021,16,9.07,0,W,Fair,82,54,37,5,0,29.75,0,27.78,12.22
24,228,NDIR-SERT,8/12/2021,17,11.39,0,W,Fair,82,54,37,5,0,29.78,0,27.78,12.22
25,239,NDIR-SERT,8/12/2021,18,9.08,0,W,Fair,79,55,44,5,0,29.78,0,26.11,12.78
26,248,NDIR-SERT,8/12/2021,19,8.1,0,NNW,Fair,73,59,61,1,0,29.81,0,22.78,15
27,255,NDIR-SERT,8/12/2021,20,6.38,0,CALM,Fair,72,61,69,0,0,29.81,0,22.22,16.11
36,345,NDIR-SERT,9/12/2021,6,5.07,0,N,Fair,66,61,83,2,0,29.87,0,18.89,16.11
37,355,NDIR-SERT,9/12/2021,7,4.5,0,VAR,Fair,66,61,83,2,0,29.87,0,18.89,16.11
38,367,NDIR-SERT,9/12/2021,8,3.61,0,VAR,Fair,70,63,78,2,0,29.9,0,21.11,17.22
39,372,NDIR-SERT,9/12/2021,9,2.43,0.73,NNW,Fair,73,61,65,3,0,29.93,0,22.78,16.11
40,382,NDIR-SERT,9/12/2021,10,4.54,0.91,N,Fair,77,61,57,3,0,29.93,0,25,16.11
41,394,NDIR-SERT,9/12/2021,11,4.71,0.86,NW,Fair,81,61,51,6,0,29.9,0,27.22,16.11
42,401,NDIR-SERT,9/12/2021,12,8.78,0.28,NW,Fair,84,61,45,6,0,29.87,0,28.89,16.11
43,408,NDIR-SERT,9/12/2021,13,5.63,0.72,WNW,Fair,84,63,48,8,0,29.84,0,28.89,17.22
44,419,NDIR-SERT,9/12/2021,14,5.91,0.27,NW,Fair,88,61,40,5,0,29.78,0,31.11,16.11
45,427,NDIR-SERT,9/12/2021,15,15.14,0,W,Fair,88,63,43,7,0,29.78,0,31.11,17.22
46,437,NDIR-SERT,9/12/2021,16,22.61,0,WSW,Fair,88,63,43,5,0,29.78,0,31.11,17.22
47,444,NDIR-SERT,9/12/2021,17,23.09,0,W,Fair,84,64,51,5,0,29.78,0,28.89,17.78
48,454,NDIR-SERT,9/12/2021,18,14.22,0,W,Fair,81,64,58,3,0,29.81,0,27.22,17.78
49,462,NDIR-SERT,9/12/2021,19,10.03,0,NW,Fair,79,66,65,3,0,29.81,0,26.11,18.89
50,471,NDIR-SERT,9/12/2021,20,8.87,0,CALM,Fair,75,66,73,0,0,29.84,0,23.89,18.89
59,562,NDIR-SERT,10/12/2021,6,6.03,0,CALM,Fair,70,66,88,0,0,29.84,0,21.11,18.89
60,572,NDIR-SERT,10/12/2021,7,5.72,0,VAR,Fair,72,66,83,2,0,29.84,0,22.22,18.89
61,581,NDIR-SERT,10/12/2021,8,2.39,0.11,VAR,Fair,75,66,73,2,0,29.87,0,23.89,18.89
62,588,NDIR-SERT,10/12/2021,9,3.18,2.85,VAR,Fair,81,66,61,2,0,29.9,0,27.22,18.89
63,597,NDIR-SERT,10/12/2021,10,8.73,8.73,VAR,Fair,82,63,51,2,0,29.87,0,27.78,17.22
64,608,NDIR-SERT,10/12/2021,11,7.29,7.29,VAR,Fair,86,63,45,3,0,29.84,0,30,17.22
