name,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
sub1,16.293,15.869,15.563,15.237,15.054,14.864,14.710,14.623,14.472,14.506,14.573,14.726,14.789,14.884,14.719,14.679,14.801,15.467,15.544,15.827,16.329,16.427,16.557,16.666,16.664,16.635,16.756,17.033,17.160,17.179,17.129,16.961,16.808,16.495,16.036,15.948,16.525,17.582,18.497,18.760,18.922,19.000,18.712,18.232,17.727,17.747,17.274,16.804
sub2, 35.07 , 33.84 , 32.81 , 31.89 , 31.08 , 30.54 , 30.02 , 29.57 , 29.30 , 29.59 , 29.98 , 30.51 , 30.37 , 29.70 , 29.07 , 29.10 , 30.15 , 32.58 , 34.30 , 35.37 , 36.03 , 36.79 , 37.41 , 37.91 , 37.60 , 37.76 , 38.74 , 39.98 , 40.52 , 40.48 , 40.34 , 39.49 , 38.61 , 37.29 , 35.57 , 35.13 , 36.90 , 40.24 , 42.58 , 43.47 , 43.65 , 43.69 , 43.24 , 42.38 , 40.89 , 39.54 , 38.05 , 36.43 
sub3, 46.45 , 45.66 , 45.59 , 45.41 , 44.87 , 44.36 , 43.76 , 43.44 , 43.22 , 43.16 , 42.61 , 42.87 , 42.97 , 42.37 , 41.32 , 41.10 , 43.21 , 45.70 , 46.57 , 46.87 , 47.06 , 47.07 , 47.45 , 47.51 , 45.62 , 44.73 , 46.19 , 48.95 , 49.72 , 50.06 , 50.36 , 50.62 , 50.63 , 50.42 , 48.32 , 47.78 , 49.19 , 51.46 , 52.45 , 52.66 , 52.75 , 53.13 , 52.94 , 52.46 , 51.63 , 50.41 , 49.43 , 47.96 
sub4,15.58567244,15.1467299,14.75157769,14.42322108,14.15259024,13.92589144,13.77595562,13.69248473,13.63730986,13.70547539,13.90959406,14.39322447,14.72323443,14.38235956,13.45142535,13.10540144,13.39181004,14.58695062,15.46134003,15.88970109,16.03406274,16.21479822,16.3092285,16.43233426,16.14979769,15.85200456,16.23818141,17.24825728,17.27350471,17.34134813,17.14086684,16.8403811,16.54369769,16.27956256,15.62346345,15.45430146,15.73097886,17.06065543,18.90343938,19.19528043,19.06674377,18.90136088,18.55887988,18.13438046,17.67849115,17.09617897,16.54419408,16.02952781
sub5, 39.51 , 38.29 , 37.53 , 36.99 , 36.39 , 35.85 , 35.50 , 35.21 , 35.41 , 36.42 , 37.83 , 39.47 , 39.11 , 36.50 , 34.40 , 33.72 , 34.21 , 34.72 , 34.72 , 34.89 , 35.13 , 35.26 , 35.49 , 35.71 , 34.51 , 34.55 , 35.42 , 37.33 , 37.64 , 37.57 , 37.69 , 37.45 , 36.92 , 36.07 , 34.79 , 35.19 , 38.29 , 43.24 , 47.81 , 49.25 , 48.96 , 48.22 , 47.03 , 45.98 , 43.96 , 43.78 , 42.20 , 41.03 
sub6,9.110,8.590,8.381,8.064,7.775,7.586,7.403,7.256,7.271,7.469,8.020,8.831,9.526,9.378,8.472,7.728,7.101,7.863,8.392,8.984,9.385,9.755,9.921,10.073,9.440,9.362,9.681,10.736,11.042,11.008,11.022,10.900,10.533,10.192,9.077,8.957,9.936,12.106,14.452,15.395,15.492,15.134,14.429,13.456,12.255,11.160,10.375,9.761
sub7,44.64379942,44.13723844,43.6049814,43.14270864,42.64806791,42.41508789,42.26484076,42.00258454,41.90677977,41.81604969,42.31054159,42.99139561,43.90090047,43.7632186,41.59052785,41.82744402,42.05936621,43.86046266,44.40601923,44.61736091,44.53476454,44.77713963,44.356234,43.96053934,42.06202831,41.16564269,41.77054803,43.63816641,43.95694295,43.81552732,42.58255302,42.06301625,40.50848835,39.85887679,38.75187236,38.32768467,38.91503815,40.94517423,42.69386114,42.91391533,42.38248921,41.84312308,41.48890635,40.92567973,40.25289542,43.29202485,44.97878863,45.35592445
sub8,21.31237035,20.9132752,20.57367015,20.2206058,19.93941411,19.8162346,19.61746766,19.51883791,19.40287259,19.45913246,19.64040231,20.00531084,20.24461719,20.54120632,19.97596957,19.79561495,20.55100469,22.2504297,22.7359874,23.1691615,23.29605578,23.54478363,23.57789351,23.62085796,22.42900769,22.08719532,22.30965062,23.64450344,23.80532506,23.76158603,23.44873807,23.61708699,23.09374742,22.48316791,21.59124704,21.69531435,22.36472608,24.04191633,24.88,24.75735886,24.2388528,24.35713313,24.02592668,23.52098552,22.9435298,22.8762333,22.32709387,21.86091757
sub9,9.381,9.000,9.069,8.890,8.701,8.533,8.429,8.384,8.467,8.964,9.613,10.396,10.386,9.430,8.398,7.862,7.779,7.902,8.203,8.374,8.515,8.617,8.730,8.829,8.819,8.494,9.014,9.265,9.312,9.377,9.445,9.474,9.117,9.065,8.783,8.837,9.593,10.906,12.636,13.341,13.374,13.097,12.633,12.115,11.438,10.740,10.220,9.752
sub10,25.322,24.631,24.080,23.583,23.126,22.738,22.421,22.193,22.050,22.152,22.527,23.747,24.721,25.322,25.165,24.625,24.826,25.373,25.609,26.065,26.240,26.170,26.361,26.383,25.233,24.720,25.556,27.364,27.849,28.542,28.583,28.517,29.065,28.828,27.491,27.174,29.277,32.237,34.631,34.870,34.317,32.860,31.239,29.888,28.531,28.204,27.352,26.361
sub11, 42.63 , 42.02 , 42.53 , 44.66 , 44.99 , 44.99 , 43.25 , 43.59 , 43.46 , 42.60 , 39.74 , 39.03 , 39.99 , 41.19 , 41.10 , 40.66 , 40.49 , 47.28 , 48.59 , 48.99 , 47.38 , 49.56 , 49.24 , 48.04 , 43.14 , 42.68 , 46.07 , 50.08 , 50.70 , 50.52 , 49.00 , 50.92 , 50.69 , 50.17 , 46.40 , 44.73 , 46.02 , 46.53 , 45.44 , 44.40 , 42.87 , 45.37 , 45.15 , 46.23 , 45.25 , 46.30 , 45.30 , 45.39 
sub12,31.494059,31.13736412,30.42990397,30.08036113,29.7199329,29.19520142,28.92836141,28.81700436,28.64290313,28.66934651,29.00071549,30.21430612,31.30461062,30.97509569,28.04896064,26.32148395,26.46781366,28.46702971,28.30350742,27.69684773,26.98912856,27.21111298,27.26712316,27.39373255,25.83351929,25.49557943,26.47834733,28.20948149,28.23240688,27.84847424,27.45960749,27.79400496,27.88746422,27.98497163,27.50318773,27.85867601,29.31620437,32.88585367,35.98743401,36.4598928,36.26664945,36.17950954,35.21068117,34.05155551,32.92308237,33.66857636,32.68551638,32.25652648
sub13,40.294,39.254,38.577,37.990,37.088,36.807,36.312,35.825,35.881,37.129,38.931,40.680,40.720,39.337,36.765,34.930,34.065,34.606,34.671,35.071,35.184,35.393,35.431,35.572,34.942,34.838,35.810,37.386,37.846,38.209,38.067,38.142,37.952,38.053,37.167,37.312,39.837,43.249,45.741,46.838,47.086,47.306,46.742,45.814,44.245,44.088,42.993,41.569
sub14, 38.91 , 38.47 , 38.77 , 39.63 , 39.32 , 38.74 , 38.28 , 38.16 , 37.79 , 37.38 , 36.76 , 36.01 , 35.93 , 35.98 , 36.46 , 37.48 , 40.78 , 45.58 , 47.47 , 48.05 , 48.31 , 47.04 , 47.67 , 47.06 , 44.83 , 43.10 , 44.09 , 47.92 , 48.95 , 48.56 , 48.02 , 47.76 , 47.29 , 46.38 , 43.68 , 41.12 , 41.01 , 42.51 , 42.49 , 41.87 , 40.62 , 40.19 , 40.46 , 40.34 , 40.23 , 40.33 , 40.08 , 39.71 
sub15,19.809,19.386,19.212,18.999,18.683,18.529,18.306,18.180,18.125,18.358,18.948,21.066,23.827,24.249,22.486,20.368,19.054,18.329,18.135,17.964,17.910,17.894,17.985,18.039,17.750,17.695,17.959,18.512,18.789,18.990,19.050,19.287,19.768,20.362,20.709,21.513,23.356,26.221,27.630,27.356,26.780,25.901,24.737,23.613,22.381,21.865,21.062,20.487
sub16, 37.15 , 36.18 , 37.27 , 38.45 , 38.81 , 39.06 , 37.04 , 37.72 , 38.03 , 37.48 , 34.40 , 34.32 , 35.56 , 35.38 , 34.71 , 34.93 , 36.84 , 45.88 , 48.04 , 48.66 , 46.93 , 49.03 , 49.10 , 47.42 , 43.09 , 41.07 , 44.63 , 49.23 , 50.09 , 50.43 , 48.38 , 50.47 , 49.93 , 48.44 , 42.78 , 40.81 , 42.21 , 41.99 , 40.94 , 38.87 , 36.96 , 40.78 , 40.91 , 40.84 , 39.58 , 41.89 , 41.76 , 39.90 
sub17,12.863,12.377,11.957,11.611,11.334,11.090,10.893,10.757,10.664,10.645,10.791,11.260,11.948,12.653,12.975,12.829,12.835,13.126,13.350,13.491,13.618,13.724,13.850,13.970,13.868,13.699,13.893,14.256,14.554,14.684,14.767,14.809,14.908,15.018,15.024,15.092,15.843,16.942,17.803,18.060,17.919,17.634,17.144,16.503,15.771,14.976,14.136,13.453
sub18,22.114,21.579,21.407,21.143,20.742,20.400,19.827,19.626,19.464,19.877,20.242,21.016,21.316,20.885,19.478,18.034,16.723,16.712,16.471,16.131,15.904,15.872,15.961,15.885,15.127,15.165,16.006,17.625,18.371,18.935,19.036,19.809,20.155,20.598,20.534,20.776,21.938,23.584,24.503,24.700,24.655,24.376,24.006,23.621,23.292,24.337,24.059,23.203
