name,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
sub67,11.742,11.615,11.211,11.091,11.218,11.353,11.250,11.211,11.274,11.369,11.480,11.568,11.695,11.782,11.565,10.988,10.153,9.810,9.790,9.650,9.815,9.823,9.831,9.839,9.847,9.985,10.100,10.250,10.310,10.340,10.355,11.260,11.853,12.407,12.555,13.226,13.780,14.100,13.702,13.554,12.867,12.672,12.352,12.017,11.861,12.266,12.118,11.931
sub68, 13.19 , 12.85 , 12.78 , 12.66 , 12.58 , 12.48 , 12.58 , 12.50 , 12.42 , 12.59 , 12.68 , 13.03 , 12.93 , 12.32 , 11.26 , 10.49 , 10.23 , 11.44 , 12.48 , 12.80 , 12.87 , 12.90 , 12.97 , 12.59 , 11.26 , 11.09 , 11.30 , 13.53 , 13.77 , 13.75 , 13.63 , 13.40 , 13.01 , 12.68 , 11.66 , 11.19 , 11.88 , 13.12 , 13.91 , 14.12 , 14.00 , 13.81 , 13.75 , 13.80 , 13.78 , 13.91 , 13.86 , 13.52 
sub69,14.933,14.158,13.411,12.904,12.440,11.985,11.672,11.353,11.157,11.203,11.414,12.278,12.854,13.032,13.102,12.867,12.343,12.783,12.708,12.895,13.295,13.454,13.509,13.679,13.621,13.470,13.777,14.469,14.781,15.065,15.059,15.151,15.058,14.965,14.797,15.625,18.011,20.953,23.491,24.037,23.654,22.834,21.658,20.290,18.536,17.884,16.846,15.778
sub70, 34.96 , 33.82 , 33.02 , 32.36 , 31.63 , 31.00 , 30.52 , 30.16 , 29.84 , 29.97 , 30.42 , 31.25 , 31.28 , 30.17 , 28.88 , 28.67 , 29.86 , 32.27 , 33.00 , 33.71 , 34.51 , 35.23 , 35.69 , 36.00 , 35.40 , 35.29 , 36.14 , 37.83 , 38.18 , 38.26 , 38.17 , 37.81 , 37.26 , 36.25 , 34.81 , 34.63 , 36.13 , 38.74 , 40.06 , 40.73 , 40.95 , 41.20 , 41.09 , 40.51 , 39.83 , 38.70 , 37.65 , 36.46 
sub71, 12.33 , 12.06 , 11.94 , 11.86 , 11.73 , 11.63 , 11.52 , 11.46 , 11.36 , 11.28 , 11.33 , 11.51 , 11.51 , 11.20 , 10.63 , 10.51 , 10.68 , 10.57 , 10.43 , 10.13 , 9.83 , 9.38 , 9.13 , 8.84 , 7.85 , 7.53 , 7.87 , 9.65 , 10.25 , 10.57 , 10.99 , 11.37 , 12.07 , 12.17 , 12.42 , 12.62 , 13.10 , 13.95 , 14.52 , 14.67 , 14.58 , 14.53 , 14.35 , 14.12 , 13.72 , 13.41 , 12.99 , 12.63 
sub72,7.328868325,8.005379248,7.779875607,7.892627427,7.554371966,7.103364684,7.441620146,7.216116505,7.103364684,6.765109223,7.103364684,8.005379248,8.343634709,8.79464199,13.66552063,13.66552063,19.30311165,34.25400303,36.12568325,36.57669053,35.3741,37.163,36.32863653,35.63700943,31.256,32.897,33.2455,36.72240058,35.07170154,33.69024393,32.42742354,31.29990534,30.68491231,26.45157706,19.86687075,15.04109284,11.43303459,12.4929017,13.6204199,13.10176153,11.88404187,10.62122148,10.14766383,9.180600145,9.17799818,8.591688714,7.937728155,7.915177791
sub73,17.730,17.278,16.905,16.598,16.360,16.305,16.674,16.585,16.694,17.137,18.101,19.157,19.611,18.722,17.286,16.457,16.338,16.467,16.250,16.252,16.285,16.342,16.398,16.466,16.275,16.038,16.336,17.097,17.367,17.479,17.544,17.539,17.492,17.469,17.049,16.917,17.618,19.126,20.643,21.460,21.608,21.497,20.970,20.405,19.729,19.394,18.779,18.240
sub74, 36.12 , 34.96 , 34.01 , 33.28 , 32.54 , 31.90 , 31.36 , 30.87 , 30.53 , 30.62 , 30.98 , 31.89 , 32.13 , 31.06 , 29.74 , 29.61 , 30.65 , 32.64 , 33.20 , 34.07 , 35.16 , 35.84 , 36.06 , 36.11 , 35.18 , 35.09 , 35.78 , 37.73 , 38.08 , 38.19 , 37.92 , 37.86 , 37.52 , 37.02 , 35.93 , 35.96 , 37.82 , 41.01 , 43.05 , 43.61 , 43.84 , 43.96 , 43.32 , 42.56 , 41.51 , 40.52 , 38.93 , 37.48 
sub75, 45.74 , 44.29 , 44.40 , 44.31 , 43.68 , 42.95 , 42.16 , 41.61 , 41.08 , 40.94 , 40.80 , 40.87 , 41.00 , 41.29 , 41.89 , 44.33 , 47.55 , 52.10 , 54.04 , 54.89 , 55.44 , 56.05 , 56.31 , 56.08 , 54.29 , 52.64 , 54.64 , 57.62 , 58.25 , 58.22 , 57.91 , 57.76 , 57.07 , 55.97 , 52.85 , 51.11 , 51.47 , 52.96 , 53.99 , 53.70 , 52.51 , 52.33 , 51.89 , 50.83 , 49.86 , 49.02 , 47.99 , 46.90 
sub76,45.08712107,43.83667593,42.89640232,42.07953309,41.58755329,41.09440127,40.68163362,40.85676404,41.08328165,41.2149861,42.51327951,44.19996023,45.42466034,43.95456911,41.06151486,39.51386645,39.18593133,40.90410135,43.18770254,44.6049178,45.50899398,46.48491891,47.4649981,48.1517966,47.55743812,47.09564904,46.89884903,47.92191933,47.67170865,47.26199715,46.40686906,45.75911078,44.61247285,43.25915786,42.33381548,43.37664616,47.59068207,56.92756473,60.5589896,58.91390932,57.14073547,55.52107833,54.0822321,52.58153461,51.243317,50.33046973,48.52339837,46.70512132
sub77,49.97005908,48.61354696,47.33072516,46.2978185,45.14661044,44.25941426,43.39987861,42.56378413,42.15851106,41.97876523,41.77224904,42.02749731,42.52011923,42.71436315,41.07362164,39.87446056,39.28176785,41.24362251,42.34681285,43.23378216,43.49049388,43.79683085,44.0284171,43.99922352,43.11806505,42.0688942,42.34609676,44.29474,44.00288235,44.04756257,43.98453733,43.87465454,43.12975613,42.48231712,41.18930919,40.54822055,41.74757616,45.42026385,48.48799923,49.61729579,50.30770097,51.18111212,51.66461969,51.71561827,53.0792593,53.63828798,52.56833407,51.30982399
