utc_timestamp,cet_cest_timestamp,AT_load_actual_entsoe_transparency,AT_load_forecast_entsoe_transparency
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,5946,6701
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,5726,6593
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,5347,6482
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,5249,6454
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,5309,6609
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,5574,6543
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,5925,6851
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,6343,7061
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,6882,7233
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,6963,7451
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,7110,7547
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,7136,7454
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,7013,7391
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,6735,7316
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,6543,7251
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,6603,7476
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,6735,7753
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,6626,7701
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,6738,7483
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,6654,7222
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,6255,6983
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,6221,7064
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,5864,6893
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,5533,6524
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,5205,6395
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,4971,6359
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,4669,6348
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,4756,6431
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,5080,6824
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,5422,7321
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,5856,8058
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,6366,8281
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,6431,8242
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,6699,8240
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,6543,8217
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,6310,8017
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,6257,7835
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,6307,7789
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,6502,7850
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,6889,8165
